Cell_type.x,Gene_symbol.x,Gene_id,Cell.Type,DOI,gene,Tissue_type_PO,Cell_type.y,Gene_symbol.y,Marker_resource
leaf mesophyll,CAB3,AT1G29910,Mesophyll cell,10.1038/nature13919,LHCB1.1,PO0025034,leaf mesophyll,CAB3,Experimental
leaf mesophyll,CAB3,AT1G29910,Mesophyll cell,10.1038/nature13919,LHCB1.1,PO0025034,leaf mesophyll,CAB3,scRNA-seq
leaf procambium,WOX4,AT1G46480,NA,NA,WOX4,PO0025034,leaf procambium,WOX4,Experimental
cotyledon,C/VIF1,AT1G47960,Vasculature,10.1093/plcell/koaa060,C/VIF1,PO0025034,cotyledon,C/VIF1,Experimental
phloem,AT1G52190,AT1G52190,NA,NA,NPF1.2,PO0025034,phloem,AT1G52190,Experimental
phloem,AT1G52190,AT1G52190,NA,NA,NPF1.2,PO0025034,bundle sheath,AT1G52190,scRNA-seq
leaf mesophyll,RBCS1A,AT1G67090,NA,NA,RBCS-1A,PO0025034,leaf mesophyll,RBCS1A,Experimental
leaf mesophyll,RBCS1A,AT1G67090,NA,NA,RBCS-1A,PO0025034,leaf pavement cell,RBCS1A,Experimental
leaf mesophyll,RBCS1A,AT1G67090,NA,NA,RBCS-1A,PO0025034,leaf mesophyll,RBCS1A,scRNA-seq
leaf pavement cell,RBCS1A,AT1G67090,NA,NA,RBCS-1A,PO0025034,leaf mesophyll,RBCS1A,Experimental
leaf pavement cell,RBCS1A,AT1G67090,NA,NA,RBCS-1A,PO0025034,leaf pavement cell,RBCS1A,Experimental
leaf pavement cell,RBCS1A,AT1G67090,NA,NA,RBCS-1A,PO0025034,leaf mesophyll,RBCS1A,scRNA-seq
leaf epidermis,KCS6,AT1G68530,Mesophyll cell,10.1038/nature13919,CUT1,PO0025034,leaf epidermis,KCS6,Experimental
leaf epidermis,KCS6,AT1G68530,Mesophyll cell,10.1038/nature13919,CUT1,PO0025034,leaf epidermis,KCS6,scRNA-seq
leaf epidermis,KCS6,AT1G68530,Epidermis,10.1093/plcell/koaa060,CUT1,PO0025034,leaf epidermis,KCS6,Experimental
leaf epidermis,KCS6,AT1G68530,Epidermis,10.1093/plcell/koaa060,CUT1,PO0025034,leaf epidermis,KCS6,scRNA-seq
cotyledon,AAP3,AT1G77380,NA,NA,AAP3,PO0025034,cotyledon,AAP3,Experimental
bundle sheath,AST56,AT1G77990,Vasculature,10.1093/plcell/koaa060,SULTR2;2,PO0025034,bundle sheath,AST56,Experimental
bundle sheath,AST56,AT1G77990,Vasculature,10.1093/plcell/koaa060,SULTR2;2,PO0025034,bundle sheath,AST56,scRNA-seq
leaf stomatal complex,GL2,AT1G79840,Trichome,10.1007/s004290050143,GL2,PO0025034,leaf stomatal complex,GL2,Experimental
leaf stomatal complex,GL2,AT1G79840,Trichome,10.3390/ijms20205014,GL2,PO0025034,leaf stomatal complex,GL2,Experimental
leaf stomatal complex,GL2,AT1G79840,Trichome,10.1002/1526-968X(200010)28:2<68::AID-GENE40>3.0.CO;2-L,GL2,PO0025034,leaf stomatal complex,GL2,Experimental
leaf stomatal complex,GL2,AT1G79840,Guard cell,10.1199/tab.0162,GL2,PO0025034,leaf stomatal complex,GL2,Experimental
leaf stomatal complex,GL2,AT1G79840,Trichome,10.1111/pbi.13167,GL2,PO0025034,leaf stomatal complex,GL2,Experimental
leaf guard cell,MYB88,AT2G02820,Guard cell,10.1105/tpc.105.034116,MYB88,PO0025034,leaf guard cell,MYB88,Experimental
leaf guard cell,MYB88,AT2G02820,Guard cell,10.1105/tpc.105.034116,MYB88,PO0025034,leaf stomatal complex,MYB88,Experimental
leaf guard cell,MYB88,AT2G02820,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB88,PO0025034,leaf guard cell,MYB88,Experimental
leaf guard cell,MYB88,AT2G02820,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB88,PO0025034,leaf stomatal complex,MYB88,Experimental
leaf stomatal complex,MYB88,AT2G02820,Guard cell,10.1105/tpc.105.034116,MYB88,PO0025034,leaf guard cell,MYB88,Experimental
leaf stomatal complex,MYB88,AT2G02820,Guard cell,10.1105/tpc.105.034116,MYB88,PO0025034,leaf stomatal complex,MYB88,Experimental
leaf stomatal complex,MYB88,AT2G02820,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB88,PO0025034,leaf guard cell,MYB88,Experimental
leaf stomatal complex,MYB88,AT2G02820,Guard mother cell,10.1146/annurev-arplant-042811-105451,MYB88,PO0025034,leaf stomatal complex,MYB88,Experimental
leaf mesophyll,LHCB2.1,AT2G05100,Mesophyll cell,10.1104/pp.108.126946,LHCB2.1,PO0025034,leaf mesophyll,LHCB2.1,Experimental
leaf mesophyll,LHCB2.1,AT2G05100,Mesophyll cell,10.1104/pp.108.126946,LHCB2.1,PO0025034,leaf mesophyll,LHCB2.1,scRNA-seq
leaf mesophyll,PHYB,AT2G18790,Guard cell,10.1016/j.cub.2014.03.074,PHYB,PO0025034,leaf mesophyll,PHYB,Experimental
leaf mesophyll,PHYB,AT2G18790,Guard cell,10.1016/j.cub.2014.03.074,PHYB,PO0025034,leaf stomatal complex,PHYB,Experimental
leaf mesophyll,PHYB,AT2G18790,Guard cell,10.1146/annurev-arplant-042811-105451,PHYB,PO0025034,leaf mesophyll,PHYB,Experimental
leaf mesophyll,PHYB,AT2G18790,Guard cell,10.1146/annurev-arplant-042811-105451,PHYB,PO0025034,leaf stomatal complex,PHYB,Experimental
leaf stomatal complex,PHYB,AT2G18790,Guard cell,10.1016/j.cub.2014.03.074,PHYB,PO0025034,leaf mesophyll,PHYB,Experimental
leaf stomatal complex,PHYB,AT2G18790,Guard cell,10.1016/j.cub.2014.03.074,PHYB,PO0025034,leaf stomatal complex,PHYB,Experimental
leaf stomatal complex,PHYB,AT2G18790,Guard cell,10.1146/annurev-arplant-042811-105451,PHYB,PO0025034,leaf mesophyll,PHYB,Experimental
leaf stomatal complex,PHYB,AT2G18790,Guard cell,10.1146/annurev-arplant-042811-105451,PHYB,PO0025034,leaf stomatal complex,PHYB,Experimental
leaf stomatal complex,ER,AT2G26330,Guard cell,10.1126/science.1109710,ERECTA,PO0025034,leaf stomatal complex,ER,Experimental
leaf stomatal complex,ER,AT2G26330,Guard cell,10.1146/annurev-arplant-042811-105451,ERECTA,PO0025034,leaf stomatal complex,ER,Experimental
cotyledon,PKT3,AT2G33150,NA,NA,PED1,PO0025034,cotyledon,PKT3,Experimental
cotyledon,UGT73C1,AT2G36750,NA,NA,UGT73C1,PO0025034,cotyledon,UGT73C1,Experimental
leaf mesophyll,AFO,AT2G45190,Mesophyll cell,10.1007/978-1-4939-8657-6_9,YAB1,PO0025034,leaf mesophyll,AFO,Experimental
leaf mesophyll,AFO,AT2G45190,Mesophyll cell,10.1007/978-1-4939-8657-6_9,YAB1,PO0025034,leaf mesophyll,AFO,scRNA-seq
leaf guard cell,MPK12,AT2G46070,Guard cell,10.1093/plcell/koaa060,ATMPK12,PO0025034,leaf guard cell,MPK12,Experimental
leaf mesophyll,CA1,AT3G01500,NA,NA,BCA1,PO0025034,leaf mesophyll,CA1,Experimental
leaf mesophyll,CA1,AT3G01500,NA,NA,BCA1,PO0025034,leaf mesophyll,CA1,scRNA-seq
leaf mesophyll,CA1,AT3G01500,NA,NA,BCA1,PO0025034,leaf,CA1,Bulk RNA-seq
leaf pavement cell,MUTE,AT3G06120,Meristemoid,10.1038/nature05467,MUTE,PO0025034,leaf pavement cell,MUTE,Experimental
leaf pavement cell,MUTE,AT3G06120,Pavement cell,10.1111/tpj.12244,MUTE,PO0025034,leaf pavement cell,MUTE,Experimental
leaf pavement cell,TCP4,AT3G15030,Trichome,10.1111/tpj.13772,TCP4,PO0025034,leaf pavement cell,TCP4,Experimental
leaf pavement cell,TCP4,AT3G15030,Trichome,10.1111/tpj.13772,TCP4,PO0025034,cotyledon,TCP4,Experimental
leaf pavement cell,TCP4,AT3G15030,Trichome,10.1111/pbi.13167,TCP4,PO0025034,leaf pavement cell,TCP4,Experimental
leaf pavement cell,TCP4,AT3G15030,Trichome,10.1111/pbi.13167,TCP4,PO0025034,cotyledon,TCP4,Experimental
cotyledon,TCP4,AT3G15030,Trichome,10.1111/tpj.13772,TCP4,PO0025034,leaf pavement cell,TCP4,Experimental
cotyledon,TCP4,AT3G15030,Trichome,10.1111/tpj.13772,TCP4,PO0025034,cotyledon,TCP4,Experimental
cotyledon,TCP4,AT3G15030,Trichome,10.1111/pbi.13167,TCP4,PO0025034,leaf pavement cell,TCP4,Experimental
cotyledon,TCP4,AT3G15030,Trichome,10.1111/pbi.13167,TCP4,PO0025034,cotyledon,TCP4,Experimental
cotyledon,CUC1,AT3G15170,NA,NA,NAC054,PO0025034,cotyledon,CUC1,Experimental
phloem,AT3G16180,AT3G16180,NA,NA,NPF1.1,PO0025034,phloem,AT3G16180,Experimental
cotyledon,WOX1,AT3G18010,NA,NA,WOX1,PO0025034,cotyledon,WOX1,Experimental
leaf guard cell,MPK9,AT3G18040,Guard cell,10.1093/plcell/koaa060,MPK9,PO0025034,leaf guard cell,MPK9,Experimental
leaf pavement cell,IQD5,AT3G22190,Pavement cell,10.1093/jxb/ery395,IQD5,PO0025034,leaf pavement cell,IQD5,Experimental
leaf pavement cell,IQD5,AT3G22190,Pavement cell,10.1104/pp.18.00558,IQD5,PO0025034,leaf pavement cell,IQD5,Experimental
leaf guard cell,CLL1,AT3G22820,NA,NA,EPFL5,PO0025034,leaf guard cell,CLL1,Experimental
leaf guard cell,FMA,AT3G24140,Guard mother cell,10.2307/20076803,FAMA,PO0025034,leaf guard cell,FMA,Experimental
leaf guard cell,FMA,AT3G24140,Guard cell,10.2307/20076803,FAMA,PO0025034,leaf guard cell,FMA,Experimental
leaf guard cell,FMA,AT3G24140,Meristemoid,10.1038/nature05467,FAMA,PO0025034,leaf guard cell,FMA,Experimental
leaf guard cell,FMA,AT3G24140,Guard cell,10.1093/plcell/koaa060,FAMA,PO0025034,leaf guard cell,FMA,Experimental
cotyledon,FUS3,AT3G26790,NA,NA,FUS3,PO0025034,cotyledon,FUS3,Experimental
cotyledon,AT4G09530,AT4G09530,NA,NA,AT4G09530,PO0025034,cotyledon,AT4G09530,Experimental
leaf mesophyll,PP2-A2,AT4G19850,NA,NA,ATPP2-A2,PO0025034,leaf mesophyll,PP2-A2,Experimental
cotyledon,NRT1.8,AT4G21680,NA,NA,NPF7.2,PO0025034,cotyledon,NRT1.8,Experimental
leaf stomatal complex,ATML1,AT4G21750,Guard cell,10.1242/dev.090209,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Guard cell,10.1242/dev.090209,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Guard cell,10.1242/dev.090209,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf stomatal complex,ATML1,AT4G21750,Epidermis,10.1242/dev.094417,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Epidermis,10.1242/dev.094417,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Epidermis,10.1242/dev.094417,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf stomatal complex,ATML1,AT4G21750,Mesophyll cell,10.1038/nature13919,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Mesophyll cell,10.1038/nature13919,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Mesophyll cell,10.1038/nature13919,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf stomatal complex,ATML1,AT4G21750,Epidermis,10.1093/plcell/koaa060,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Epidermis,10.1093/plcell/koaa060,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf stomatal complex,ATML1,AT4G21750,Epidermis,10.1093/plcell/koaa060,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf epidermis,ATML1,AT4G21750,Guard cell,10.1242/dev.090209,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Guard cell,10.1242/dev.090209,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Guard cell,10.1242/dev.090209,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf epidermis,ATML1,AT4G21750,Epidermis,10.1242/dev.094417,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Epidermis,10.1242/dev.094417,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Epidermis,10.1242/dev.094417,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf epidermis,ATML1,AT4G21750,Mesophyll cell,10.1038/nature13919,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Mesophyll cell,10.1038/nature13919,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Mesophyll cell,10.1038/nature13919,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
leaf epidermis,ATML1,AT4G21750,Epidermis,10.1093/plcell/koaa060,ATML1,PO0025034,leaf stomatal complex,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Epidermis,10.1093/plcell/koaa060,ATML1,PO0025034,leaf epidermis,ATML1,Experimental
leaf epidermis,ATML1,AT4G21750,Epidermis,10.1093/plcell/koaa060,ATML1,PO0025034,leaf epidermis,ATML1,scRNA-seq
petiole,WRKY53,AT4G23810,NA,NA,WRKY53,PO0025034,petiole,WRKY53,Experimental
petiole,WRKY53,AT4G23810,NA,NA,WRKY53,PO0025034,leaf apex,WRKY53,Experimental
leaf apex,WRKY53,AT4G23810,NA,NA,WRKY53,PO0025034,petiole,WRKY53,Experimental
leaf apex,WRKY53,AT4G23810,NA,NA,WRKY53,PO0025034,leaf apex,WRKY53,Experimental
plant embryo cotyledon,ENP,AT4G31820,NA,NA,NPY1,PO0025034,plant embryo cotyledon,ENP,Experimental
plant embryo cotyledon,ENP,AT4G31820,NA,NA,NPY1,PO0025034,leaf epidermis,ENP,scRNA-seq
leaf procambium,HB-8,AT4G32880,Xylem,10.1104/pp.126.2.643,ATHB-8,PO0025034,leaf procambium,HB-8,Experimental
leaf stomatal complex,ERL2,AT5G07180,Guard mother cell,10.1126/science.1109710,ERL2,PO0025034,leaf stomatal complex,ERL2,Experimental
leaf stomatal complex,ERL2,AT5G07180,Guard cell,10.1126/science.1109710,ERL2,PO0025034,leaf stomatal complex,ERL2,Experimental
leaf stomatal complex,ERL2,AT5G07180,Meristemoid,10.1126/science.1109710,ERL2,PO0025034,leaf stomatal complex,ERL2,Experimental
leaf stomatal complex,ERL2,AT5G07180,Guard cell,10.1146/annurev-arplant-042811-105451,ERL2,PO0025034,leaf stomatal complex,ERL2,Experimental
petiole,LEP,AT5G13910,NA,NA,LEP,PO0025034,petiole,LEP,Experimental
leaf stomatal complex,MYB66,AT5G14750,Guard cell,10.1199/tab.0162,WER,PO0025034,leaf stomatal complex,MYB66,Experimental
leaf stomatal complex,TTG1,AT5G24520,Trichome,10.1105/tpc.114.129379,TTG1,PO0025034,leaf stomatal complex,TTG1,Experimental
leaf stomatal complex,TTG1,AT5G24520,Trichome,10.3390/ijms20205014,TTG1,PO0025034,leaf stomatal complex,TTG1,Experimental
leaf stomatal complex,TTG1,AT5G24520,Guard cell,10.1199/tab.0162,TTG1,PO0025034,leaf stomatal complex,TTG1,Experimental
leaf stomatal complex,TTG1,AT5G24520,Trichome,10.1111/pbi.13167,TTG1,PO0025034,leaf stomatal complex,TTG1,Experimental
leaf mesophyll,RBCS2B,AT5G38420,Mesophyll cell,10.1038/nature13919,RBCS-2B,PO0025034,leaf mesophyll,RBCS2B,Experimental
leaf mesophyll,RBCS2B,AT5G38420,Mesophyll cell,10.1038/nature13919,RBCS-2B,PO0025034,leaf mesophyll,RBCS2B,scRNA-seq
leaf mesophyll,RBCS2B,AT5G38420,Mesophyll cell,10.1038/nature13919,RBCS-2B,PO0025034,leaf,RBCS2B,Bulk RNA-seq
bundle sheath,AT5G41920,AT5G41920,Bundle sheath,10.1093/plcell/koaa060,SCL23,PO0025034,bundle sheath,AT5G41920,Experimental
bundle sheath,AT5G41920,AT5G41920,Bundle sheath,10.1093/plcell/koaa060,SCL23,PO0025034,bundle sheath,AT5G41920,scRNA-seq
leaf epidermis,CER3,AT5G57800,Trichome,10.1046/j.1365-313X.2003.01854.x,CER3,PO0025034,leaf epidermis,CER3,Experimental
leaf epidermis,CER3,AT5G57800,Mesophyll cell,10.1038/nature13919,CER3,PO0025034,leaf epidermis,CER3,Experimental
leaf epidermis,CER3,AT5G57800,Epidermis,10.1093/plcell/koaa060,CER3,PO0025034,leaf epidermis,CER3,Experimental
vascular leaf,PXY,AT5G61480,NA,NA,TDR,PO0025034,vascular leaf,PXY,Experimental
vascular leaf,PXY,AT5G61480,NA,NA,TDR,PO0025034,leaf procambium,PXY,Experimental
leaf procambium,PXY,AT5G61480,NA,NA,TDR,PO0025034,vascular leaf,PXY,Experimental
leaf procambium,PXY,AT5G61480,NA,NA,TDR,PO0025034,leaf procambium,PXY,Experimental
leaf stomatal complex,ERL1,AT5G62230,Guard cell,10.1126/science.1109710,ERL1,PO0025034,leaf stomatal complex,ERL1,Experimental
leaf stomatal complex,ERL1,AT5G62230,Meristemoid,10.1126/science.1109710,ERL1,PO0025034,leaf stomatal complex,ERL1,Experimental
leaf stomatal complex,ERL1,AT5G62230,Guard mother cell,10.1126/science.1109710,ERL1,PO0025034,leaf stomatal complex,ERL1,Experimental
leaf stomatal complex,ERL1,AT5G62230,Guard cell,10.1146/annurev-arplant-042811-105451,ERL1,PO0025034,leaf stomatal complex,ERL1,Experimental
leaf pavement cell,pde191,AT4G38160,Mesophyll cell,10.1093/plcell/koaa060,pde191,PO0025034,leaf pavement cell,pde191,scRNA-seq
leaf pavement cell,PLA2-ALPHA,AT2G06925,Mesophyll cell,10.1038/nature13919,PLA2-ALPHA,PO0025034,leaf pavement cell,PLA2-ALPHA,scRNA-seq
leaf pavement cell,PLA2-ALPHA,AT2G06925,Mesophyll cell,10.1038/nature13919,PLA2-ALPHA,PO0025034,leaf mesophyll,PLA2-ALPHA,scRNA-seq
leaf pavement cell,TCP11,AT5G08330,NA,NA,TCP21,PO0025034,leaf pavement cell,TCP11,scRNA-seq
leaf pavement cell,AT5G35740,AT5G35740,NA,NA,AT5G35740,PO0025034,leaf pavement cell,AT5G35740,scRNA-seq
leaf pavement cell,AT5G35740,AT5G35740,NA,NA,AT5G35740,PO0025034,leaf mesophyll,AT5G35740,scRNA-seq
leaf pavement cell,EMB3108,AT1G59990,NA,NA,RH22,PO0025034,leaf pavement cell,EMB3108,scRNA-seq
leaf pavement cell,RFC3,AT3G17170,Mesophyll cell,10.1093/plcell/koaa060,RFC3,PO0025034,leaf pavement cell,RFC3,scRNA-seq
leaf pavement cell,AAE14,AT1G30520,NA,NA,AAE14,PO0025034,leaf pavement cell,AAE14,scRNA-seq
leaf pavement cell,AT5G09820,AT5G09820,NA,NA,PAP7,PO0025034,leaf pavement cell,AT5G09820,scRNA-seq
leaf pavement cell,BIO2,AT2G43360,NA,NA,BIO2,PO0025034,leaf pavement cell,BIO2,scRNA-seq
leaf pavement cell,RPB5D,AT2G41340,NA,NA,NRPD5B,PO0025034,leaf pavement cell,RPB5D,scRNA-seq
leaf stomatal pore,,AT2G21187,NA,NA,AT2G21187,PO0025034,leaf stomatal pore,,scRNA-seq
leaf stomatal pore,ELF4-L1,AT2G29950,NA,NA,EFL1,PO0025034,leaf stomatal pore,ELF4-L1,scRNA-seq
leaf stomatal pore,AIRP1,AT4G23450,NA,NA,AIRP1,PO0025034,leaf stomatal pore,AIRP1,scRNA-seq
leaf stomatal pore,CYP71B19,AT3G26170,NA,NA,CYP71B19,PO0025034,leaf stomatal pore,CYP71B19,scRNA-seq
leaf stomatal pore,AT2G41342,AT2G41342,NA,NA,AT2G41342,PO0025034,leaf stomatal pore,AT2G41342,scRNA-seq
leaf stomatal pore,GLTP3,AT3G21260,NA,NA,GLTP3,PO0025034,leaf stomatal pore,GLTP3,scRNA-seq
leaf stomatal pore,AT1G63350,AT1G63350,NA,NA,AT1G63350,PO0025034,leaf stomatal pore,AT1G63350,scRNA-seq
leaf stomatal pore,ORP1A,AT2G31020,NA,NA,ORP1A,PO0025034,leaf stomatal pore,ORP1A,scRNA-seq
leaf stomatal pore,TBL9,AT5G06230,NA,NA,TBL9,PO0025034,leaf stomatal pore,TBL9,scRNA-seq
leaf stomatal pore,AT1G02470,AT1G02470,NA,NA,AT1G02470,PO0025034,leaf stomatal pore,AT1G02470,scRNA-seq
leaf mesophyll,,AT3G41768,NA,NA,AT3G41768,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,,ATMG00020,NA,NA,RRN26,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,,ATCG00020,NA,NA,PSBA,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,AT3G05727,AT3G05727,NA,NA,AT3G05727,PO0025034,leaf mesophyll,AT3G05727,scRNA-seq
leaf mesophyll,GSTF7,AT1G02920,NA,NA,GSTF7,PO0025034,leaf mesophyll,GSTF7,scRNA-seq
leaf mesophyll,GSTF7,AT1G02920,NA,NA,GSTF7,PO0025034,leaf epidermis,GSTF7,scRNA-seq
leaf mesophyll,,ATMG01390,NA,NA,RRN18,PO0025034,leaf mesophyll,,scRNA-seq
leaf mesophyll,AT1G07590,AT1G07590,NA,NA,AT1G07590,PO0025034,leaf mesophyll,AT1G07590,scRNA-seq
leaf mesophyll,RBCS1B,AT5G38430,Mesophyll cell,10.1038/nature13919,RBCS-1B,PO0025034,leaf mesophyll,RBCS1B,scRNA-seq
leaf mesophyll,RBCS1B,AT5G38430,Mesophyll cell,10.1038/nature13919,RBCS-1B,PO0025034,leaf,RBCS1B,Bulk RNA-seq
leaf mesophyll,RBCS3B,AT5G38410,NA,NA,AT5G38410,PO0025034,leaf mesophyll,RBCS3B,scRNA-seq
leaf mesophyll,RBCS3B,AT5G38410,NA,NA,AT5G38410,PO0025034,leaf,RBCS3B,Bulk RNA-seq
leaf stomatal pore,BCAT-2,AT1G10070,NA,NA,BCAT2,PO0025034,leaf stomatal pore,BCAT-2,scRNA-seq
