peptide,type
NP_180747,RLK
XP_010326820,N
XP_015611757,KIN
XP_015611756,KIN
XP_015635899,KIN
NP_188782,KIN
XP_015646612,KIN
XP_025883409,NL
NP_001323284,RLP
XP_025881728,N
XP_015612083,CK
XP_015612080,CK
XP_015612081,CK
XP_015612087,CNL
XP_015612084,CK
XP_015612085,CNL
NP_001030878,KIN
NP_001030879,KIN
NP_001119319,TNL
XP_015616250,N
NP_172341,KIN
XP_015625325,KIN
NP_001320908,CNL
NP_001320909,CNL
XP_004248326,KIN
NP_001325421,RLK
XP_004247840,N
NP_001077731,KIN
XP_019068867,CN
XP_019068866,CN
NP_187235,KIN
XP_019067782,RLK
NP_001327649,KIN
XP_025879696,N
XP_025884233,RLK
XP_025884232,RLK
NP_566876,KIN
XP_015620320,RLK
XP_015647565,RLK
XP_015642988,RLK
XP_010318911,KIN
NP_001078504,KIN
NP_001234779,KIN
NP_187589,KIN
XP_015629524,N
XP_015644915,CK
XP_015644914,CK
XP_015639938,KIN
XP_004229416,CK
XP_015622678,N
XP_015615505,RLK
XP_015622672,N
XP_015622671,N
XP_015622677,N
XP_025877349,N
XP_004242235,L
XP_015636545,RLK
XP_015636544,KIN
XP_025877347,N
XP_025877346,N
XP_025877345,N
XP_025877344,CN
XP_010320466,KIN
XP_015647176,KIN
XP_015616538,KIN
NP_568041,CK
XP_004235102,KIN
NP_001326779,KIN
XP_015631388,RLK
XP_004235104,KIN
XP_015626001,KIN
XP_015626552,RLK
XP_015626551,RLK
XP_015626004,KIN
XP_015626554,RLK
NP_192620,KIN
XP_015614676,L
XP_015614903,NL
XP_015614902,NL
XP_015619281,RLP
NP_192625,RLK
XP_015613159,KIN
NP_568438,KIN
NP_001031181,KIN
XP_015651111,KIN
XP_010326452,CK
XP_015651112,KIN
NP_001185301,RLK
NP_174166,RLK
XP_015614010,KIN
NP_174161,KIN
NP_197748,KIN
XP_025876309,KIN
NP_001185225,KIN
XP_025881110,KIN
XP_015618594,RLK
NP_175698,T
NP_001328736,KIN
NP_199537,CN
NP_001320129,KIN
XP_025882707,KIN
NP_199283,RLK
XP_015617286,N
NP_001324885,KIN
XP_004236615,RLK
NP_200863,KIN
XP_025886141,KIN
XP_025886140,KIN
XP_025886143,KIN
XP_025886142,KIN
NP_174345,KIN
NP_001318061,CN
NP_195638,RLK
NP_001329872,N
XP_025878573,CN
XP_025878574,CN
XP_025878576,CNL
XP_019070802,KIN
XP_019070804,KIN
XP_019070805,KIN
NP_563832,CK
NP_190664,CNL
XP_015643907,CN
XP_004247677,RLK
NP_199758,KIN
XP_025879874,CNL
XP_015616887,KIN
XP_015615761,NL
XP_015616734,RLK
XP_010313851,KIN
XP_010322355,KIN
XP_010313854,KIN
XP_010313855,RLK
XP_015618956,CN
XP_010322358,KIN
XP_019070738,KIN
NP_180274,RLK
XP_010312674,RLP
XP_015617423,N
XP_015617422,N
XP_019070734,CK
XP_015617420,N
XP_015625190,KIN
XP_004241858,RLK
NP_001329064,KIN
NP_001329065,KIN
NP_001329066,KIN
XP_015641263,KIN
XP_015621697,KIN
NP_179509,RLK
XP_015645555,KIN
NP_179503,KIN
XP_015621698,KIN
XP_025875888,N
XP_015631098,KIN
XP_015631099,KIN
XP_015631096,KIN
XP_015631097,KIN
NP_175437,CN
XP_025876750,RLK
XP_015620909,CN
XP_010320196,KIN
NP_191538,KIN
XP_025880462,KIN
XP_015629173,KIN
XP_025880467,CN
XP_004250576,TNL
XP_025880469,KIN
NP_191533,KIN
NP_191532,KIN
NP_191534,KIN
XP_004249202,RLK
NP_179443,KIN
NP_001326847,KIN
NP_001326846,KIN
XP_004232341,KIN
XP_015637001,KIN
NP_001330418,KIN
XP_004250411,RLK
XP_004250410,KIN
NP_568231,KIN
XP_015624322,RLP
XP_015624321,RLP
NP_179990,RLK
XP_015611145,KIN
XP_019069329,KIN
XP_015610817,KIN
XP_015610815,NL
NP_001319584,CK
XP_010317918,KIN
XP_025877480,RLP
XP_025877481,RLP
XP_025877484,RLP
XP_025877485,RLK
NP_001318226,RLP
NP_001318223,RLK
NP_001318220,RLK
XP_025886703,TNL
XP_025886702,TNL
XP_025886700,KIN
XP_025886705,KIN
XP_025886704,TNL
XP_025886067,NL
XP_025877624,RLP
XP_004242003,KIN
XP_004242002,KIN
NP_176855,RLK
XP_004242556,RLK
NP_186798,KIN
XP_025888705,N
NP_849407,KIN
XP_015631803,KIN
NP_849400,N
XP_004253143,RLP
XP_004253141,RLP
NP_177451,RLK
XP_025888731,TNL
XP_025888732,KIN
XP_025888734,KIN
XP_004230878,KIN
XP_010318169,RLK
NP_001333998,KIN
XP_010314859,KIN
NP_001332026,TNL
NP_001332027,N
NP_176755,KIN
XP_015644707,CN
NP_190034,TNL
XP_025878810,RLP
NP_001322143,TNL
XP_015644449,CN
XP_015644444,KIN
XP_004243208,CK
NP_201356,CK
XP_015618013,KIN
XP_015618012,KIN
NP_201353,CK
XP_010325645,RLK
XP_025887150,RLK
XP_015639174,RLK
NP_001329656,NLK
NP_001329655,NLK
NP_001329654,NLK
NP_001329653,NLK
NP_001329652,NLK
XP_025885135,RLK
XP_025885134,RLK
XP_025885137,RLK
XP_025885136,RLK
NP_195285,KIN
NP_001329658,NLK
XP_015626618,KIN
NP_198833,RLP
NP_193870,KIN
NP_568843,KIN
NP_568599,CK
XP_015632529,RLK
XP_015621594,RLK
NP_001329470,KIN
XP_015621590,KIN
XP_010313448,KIN
NP_001329479,KIN
XP_015618692,CN
XP_004232118,RLK
XP_015634961,RLK
XP_015617630,N
XP_015617631,RLK
XP_015617636,CNL
XP_015617634,CNL
XP_015643536,KIN
XP_015648700,CN
XP_015631563,KIN
XP_004228384,KIN
NP_182073,KIN
XP_015613951,CLK
XP_004248529,KIN
NP_001329389,RLK
NP_001331153,CK
XP_025886957,KIN
XP_025886958,N
NP_001319261,T
NP_001319262,KIN
NP_001319265,NL
XP_015634296,CL
NP_001319267,N
NP_001319266,CN
XP_025878636,KIN
XP_025878637,KIN
XP_004245209,KIN
NP_001325404,KIN
NP_001325157,KIN
NP_001325402,KIN
NP_001325403,KIN
NP_001320432,KIN
NP_001320433,KIN
NP_187217,RLP
NP_187216,RLP
NP_565411,KIN
XP_015638474,RLP
NP_182131,KIN
NP_189304,KIN
NP_564237,RLP
XP_015634743,RLP
NP_001189542,KIN
NP_001031898,KIN
XP_015612606,RLK
XP_025881435,N
NP_001234719,KIN
XP_015633882,KIN
NP_001234712,KIN
NP_001189514,KIN
XP_004229167,KIN
XP_015622616,KIN
XP_015638297,CK
XP_025880883,NL
XP_015615078,RLP
XP_015615079,RLP
XP_015638292,KIN
NP_001321385,NL
NP_001234824,RLP
NP_001321386,NL
XP_025877365,KIN
XP_025877364,KIN
NP_001321383,TNL
XP_015618702,KIN
XP_004249079,KIN
XP_004241588,RLK
XP_015637212,KIN
XP_015637217,RLP
XP_015615386,CN
NP_683292,T
XP_010317169,KIN
XP_025885964,CK
XP_004230402,TNL
NP_192429,KIN
NP_192938,TNL
NP_192939,NLK
NP_198644,KIN
XP_015623050,CK
XP_004234560,L
NP_198642,KIN
XP_004237180,RLK
XP_004235000,TRAN
NP_181307,KIN
XP_004237185,KIN
XP_015622261,CN
XP_015622260,CN
XP_015622262,CN
XP_004233692,KIN
XP_004247193,KIN
XP_025879095,KIN
XP_015614383,KIN
XP_004246583,KIN
XP_015646397,CN
XP_015646396,KIN
XP_010325785,KIN
XP_010325784,KIN
NP_001319868,CK
XP_015615928,KIN
XP_015615929,KIN
XP_015615926,KIN
XP_015615927,KIN
NP_001319867,KIN
XP_004242616,N
XP_015651172,KIN
NP_001318736,CN
NP_001318737,CN
XP_010321314,KIN
XP_015614031,CNL
NP_001330953,CK
XP_025877355,N
NP_177710,RLK
NP_001078708,KIN
XP_025881131,RLP
XP_025881130,RLK
XP_025881133,RLP
XP_025881132,RLP
XP_025881135,RLP
XP_025881134,RLP
XP_025881139,N
XP_004233031,KIN
NP_001078492,KIN
XP_025882721,KIN
XP_025882720,KIN
XP_015635488,KIN
XP_004242808,RLP
NP_194839,KIN
NP_199518,KIN
XP_019068027,KIN
XP_010318336,KIN
XP_010314132,KIN
NP_193118,RLP
XP_010319324,NL
XP_010319326,CNL
XP_015633824,KIN
XP_019071665,L
XP_019070535,CK
XP_019070530,KIN
NP_173814,KIN
XP_019070532,RLK
NP_190130,KIN
NP_001330852,RLK
NP_199777,RLK
NP_190641,KIN
NP_190642,KIN
XP_015616862,RLK
NP_001233905,KIN
XP_015650220,KIN
XP_015650221,KIN
XP_015650222,RLK
XP_015641418,RLK
XP_015641411,RLK
XP_015641410,KIN
XP_015617404,CN
XP_015617407,CN
XP_015617406,CN
XP_015612161,KIN
XP_015612160,KIN
XP_015612163,KIN
XP_015612162,KIN
NP_173578,KIN
XP_015617409,CN
XP_015617408,CN
XP_015626448,KIN
XP_025887942,KIN
NP_001329042,TNL
NP_001329043,TNL
NP_001329040,TNL
NP_001329041,TNL
XP_015642426,RLK
XP_015644168,N
XP_015644166,N
XP_015644167,N
XP_015644164,N
XP_015644165,N
XP_015644162,N
XP_015649440,RLP
XP_015619345,KIN
NP_172195,KIN
XP_025881397,RLP
NP_849426,KIN
XP_025881390,RLK
XP_015622869,RLP
XP_025880918,N
XP_025879718,RLP
NP_001330782,KIN
XP_015629150,CK
XP_015628739,KIN
XP_015645413,KIN
XP_004250590,RLK
XP_004244346,KIN
NP_191510,RLP
XP_004251184,KIN
XP_004251183,KIN
NP_973518,KIN
NP_001331782,NL
XP_010312655,CK
XP_010312654,CK
NP_001330434,RLK
NP_001330436,KIN
NP_001330431,RLK
NP_001330430,RLK
NP_001330433,RLK
NP_001330432,RLK
XP_015611120,CN
XP_015611121,CNL
NP_001321264,T
NP_001321265,T
NP_001321262,T
NP_001321263,T
NP_001321260,T
NP_001321261,T
XP_019069306,KIN
XP_019069300,KIN
NP_001326548,TNL
NP_001326549,TNL
XP_015610834,RLK
XP_015610837,RLK
XP_015610833,RLK
XP_015610832,KIN
XP_025876778,L
NP_187793,KIN
NP_001234454,KIN
XP_010317978,KIN
NP_001119079,KIN
NP_001332491,NL
XP_004253023,CT
NP_001332492,TNL
XP_015620284,KIN
XP_015620283,KIN
XP_004231674,RLK
NP_001325366,KIN
NP_001031970,KIN
XP_004231677,TNL
XP_025876802,NL
NP_001321842,RLK
XP_004244262,KIN
NP_001321841,RLK
NP_176871,KIN
XP_025877605,KIN
NP_001321079,KIN
XP_004253120,CNL
XP_004246268,KIN
XP_004235219,KIN
NP_849468,KIN
NP_849399,CNT
NP_849398,TNL
NP_001332143,CK
NP_001332142,CK
NP_181825,CK
XP_015636085,KIN
XP_015636086,KIN
NP_567277,KIN
XP_015636089,NL
XP_004230898,KIN
NP_001332008,KIN
XP_015633107,KIN
XP_010320789,KIN
XP_015633108,KIN
NP_178731,KIN
NP_974730,KIN
XP_010320781,N
XP_015642396,KIN
XP_015615242,RLK
NP_850654,TNL
XP_004241640,CK
XP_004241646,RLK
NP_001190516,TNL
XP_015618039,CNL
XP_025888869,TNL
NP_201372,RLK
NP_201371,RLK
XP_025887795,KIN
XP_015642641,KIN
NP_001323733,NL
NP_001323736,KIN
NP_001323737,KIN
NP_001323734,NL
NP_001323735,KIN
XP_004250837,CK
XP_015624706,KIN
XP_004250831,KIN
NP_001078351,KIN
XP_025885153,NL
XP_025885151,RLK
XP_025885150,RLK
NP_001321464,KIN
NP_001321465,KIN
NP_001327850,KIN
NP_193855,KIN
NP_680732,KIN
NP_001331206,CK
NP_001331208,KIN
XP_010323840,KIN
XP_010323841,KIN
NP_199186,CN
NP_199187,CN
NP_568860,KIN
XP_010315304,RLK
XP_015634909,RLK
NP_001319636,KIN
XP_015634902,KIN
NP_001319631,KIN
XP_025878681,NL
XP_015617655,CNL
XP_015617656,CNL
NP_001031373,KIN
NP_001329677,CK
NP_001318944,KIN
XP_015619541,KIN
XP_004246861,KIN
XP_015613975,CN
XP_025878381,KIN
XP_004245365,CK
XP_025878385,KIN
XP_004247737,CK
NP_001077512,RLK
XP_004248052,KIN
XP_004248053,KIN
XP_004247738,CK
XP_004247739,KIN
XP_015619033,KIN
XP_015629368,KIN
NP_192248,RLK
NP_001320412,KIN
XP_004247880,CN
XP_004247881,CN
NP_001320417,KIN
XP_004231117,CNL
NP_001320418,KIN
XP_019068792,KIN
XP_015631535,KIN
NP_182115,CK
XP_015631536,KIN
NP_564746,KIN
NP_001189755,KIN
XP_015610992,RLK
XP_015610993,RLK
XP_010320012,KIN
XP_015642001,KIN
XP_025880056,KIN
XP_015642007,RLK
XP_025880050,KIN
XP_015616297,RLK
NP_001234730,KIN
NP_001234733,RLP
XP_015616294,RLP
NP_179637,KIN
XP_015644952,KIN
XP_015644951,KIN
XP_015622636,N
XP_015615011,KIN
XP_004245465,TRAN
XP_025877835,RLK
NP_176603,RLK
NP_001234591,KIN
XP_025877832,KIN
XP_004230793,RLP
XP_015650444,KIN
XP_004249015,KIN
XP_015623940,RLK
XP_015644467,KIN
XP_025883126,KIN
NP_001325826,KIN
NP_181496,KIN
NP_001325822,N
XP_004237217,CN
XP_015637270,KIN
XP_025887728,RLP
XP_015648879,N
XP_015648874,CK
XP_010323624,RLK
NP_001190722,RLP
NP_001327283,RLP
XP_015615908,KIN
XP_015615909,KIN
NP_001328081,CK
NP_001328083,CK
NP_001328082,CK
NP_001328085,CK
NP_001328084,CK
XP_025882295,N
NP_565995,KIN
NP_001320256,KIN
NP_001320257,KIN
XP_025882523,KIN
XP_004242632,RLK
NP_001320258,KIN
NP_001320259,KIN
XP_025882529,RLK
NP_001318713,KIN
NP_001324412,KIN
NP_001190037,CK
NP_001324410,KIN
NP_001324411,KIN
NP_001318718,TNL
XP_025886459,KIN
XP_015633598,KIN
XP_015625623,RLP
XP_004234239,N
XP_015620568,KIN
NP_194851,CK
NP_194674,RLK
XP_015620566,KIN
XP_025882740,KIN
XP_025882747,RLP
XP_025882745,RLP
XP_015613364,KIN
XP_019071640,N
XP_015613360,KIN
XP_019071644,CK
XP_019071646,CK
NP_001329203,KIN
XP_015612367,RLP
XP_015612361,KIN
NP_190119,KIN
XP_010321990,KIN
XP_025878091,N
XP_015616842,RLP
XP_015616846,NL
XP_015616849,CN
NP_177398,KIN
XP_015613500,RLP
NP_172600,KIN
XP_015618997,KIN
NP_172602,KIN
XP_025884965,RLK
XP_010325852,CK
NP_172608,KIN
XP_015612106,RLK
XP_015648513,KIN
XP_015647739,RLK
XP_015645597,KIN
XP_025885210,KIN
XP_010313092,CK
XP_010313093,CK
XP_015644184,N
XP_004251215,KIN
XP_015644182,L
XP_019069753,CK
NP_175476,RLK
XP_015626755,RLK
XP_004252886,CK
XP_015628809,CN
NP_196408,L
XP_015639260,N
XP_015639263,CN
XP_019067800,RLP
XP_019067801,RLP
XP_015638020,KIN
XP_025879269,CN
XP_015613284,KIN
XP_015621383,KIN
NP_179409,KIN
XP_004232308,KIN
XP_015631236,KIN
NP_188402,KIN
XP_015631230,RLP
NP_180238,KIN
XP_010323049,KIN
NP_001330453,CK
NP_001330457,RLP
XP_025877055,CK
NP_001330455,RLP
NP_001330454,RLP
NP_001330459,RLP
NP_001330458,RLP
XP_015616330,N
NP_565351,KIN
XP_025883238,KIN
XP_010321576,KIN
XP_010325071,RLK
XP_010316317,KIN
XP_015646027,KIN
XP_025881518,L
XP_025881513,RLK
NP_001319549,CNL
XP_025886783,KIN
XP_010323595,KIN
NP_001320881,KIN
XP_025876714,RLK
XP_025877445,N
XP_025877442,CN
XP_015615521,N
NP_001234474,RLP
XP_025875626,CN
NP_566954,KIN
NP_001325617,KIN
NP_001325616,KIN
XP_025879153,CNL
NP_199899,KIN
NP_001326830,RLP
XP_025877196,L
XP_025877197,KIN
XP_025877666,KIN
NP_001321827,KIN
NP_849442,CK
NP_176819,KIN
NP_849446,KIN
NP_564003,KIN
NP_189443,RLK
XP_004253103,KIN
NP_189115,KIN
NP_564552,KIN
XP_015625015,KIN
NP_181808,RLP
XP_015639850,KIN
XP_015618465,KIN
NP_566915,CK
NP_567920,RLK
XP_010319534,KIN
XP_015644746,KIN
XP_015618794,RLP
XP_015644742,KIN
XP_015644743,KIN
XP_015644741,KIN
XP_010320760,RLK
XP_010320811,KIN
NP_178719,CK
XP_015624498,CN
NP_683317,KIN
NP_001322740,RLP
XP_015640243,KIN
XP_015640242,KIN
XP_015640241,KIN
XP_015640240,KIN
XP_004243241,RLK
NP_198561,RLK
XP_015650921,RLK
XP_025888849,RLK
NP_197798,RLK
NP_001328837,KIN
XP_015613776,KIN
XP_025883350,N
XP_015622543,KIN
XP_010315140,KIN
XP_015624723,KIN
NP_194449,CN
XP_015624724,KIN
XP_025885175,KIN
XP_025885174,KIN
XP_025885177,RLK
XP_025885176,KIN
XP_025885178,RLK
XP_004235975,CK
XP_019069562,CN
NP_178383,KIN
NP_178381,RLK
NP_568809,KIN
XP_010313409,KIN
XP_010313408,KIN
XP_015641591,RLK
XP_025881070,KIN
XP_015634928,KIN
XP_015612825,KIN
XP_015612820,RLP
XP_015627388,RLK
NP_001307197,KIN
NP_001318967,KIN
NP_001154651,KIN
XP_015648215,NLK
NP_001154652,RLP
NP_001329614,TNL
XP_015613995,KIN
XP_015649030,KIN
XP_015649037,KIN
XP_015628120,KIN
XP_004245385,RLK
XP_019070981,RLP
XP_019070980,RLP
XP_019070982,RLP
XP_004245388,RLK
XP_015651407,CLK
NP_001330139,TNL
XP_015629839,KIN
XP_015629838,KIN
XP_015651409,CLK
XP_015651408,CLK
NP_187665,KIN
XP_015618287,N
XP_015634134,NL
XP_019066548,TNL
XP_015634250,N
XP_019066547,TNL
XP_015625387,KIN
XP_015625384,KIN
NP_569040,KIN
NP_569046,CLK
XP_004236305,RLK
XP_019068804,KIN
NP_001190618,RLK
XP_010327575,CN
NP_566892,RLK
XP_015615988,CN
XP_004231792,RLK
XP_019067497,KIN
XP_015611598,CN
XP_004236270,CK
XP_015621445,N
XP_015611597,CN
NP_195934,KIN
XP_015644973,CNL
XP_015644977,KIN
XP_015644976,KIN
XP_015644979,CNL
XP_015644978,KIN
XP_025876451,NL
XP_025876100,CK
XP_025876101,CK
XP_015637780,RLK
XP_004241017,CK
NP_001234869,CK
XP_004249031,CK
XP_025877851,N
XP_015623967,RLK
XP_015623966,RLK
XP_004232848,KIN
NP_001325808,KIN
NP_001325809,KIN
XP_015620925,RLK
XP_015620926,RLK
XP_015630201,KIN
XP_015621030,RLK
NP_176483,RLK
XP_010321747,RLK
XP_015643372,NL
XP_015643373,NL
NP_001119485,KIN
NP_001119484,KIN
NP_001030981,KIN
XP_015643374,NL
XP_015643375,NL
XP_004240498,CN
XP_004240499,CN
XP_004240492,KIN
XP_004240493,CK
XP_025878581,CNL
NP_850311,KIN
XP_015615692,RLK
XP_015615693,RLK
XP_015615696,RLK
XP_015615694,RLK
XP_015615695,RLK
NP_190821,KIN
NP_192680,CNT
XP_015646829,KIN
NP_200702,KIN
NP_200709,KIN
NP_001322341,RLK
XP_004240726,KIN
XP_015615965,KIN
NP_001328061,KIN
NP_001328060,KIN
XP_025882505,KIN
NP_001031164,KIN
XP_004240878,KIN
XP_025882501,KIN
XP_025882500,KIN
XP_025882503,KIN
XP_025882502,KIN
NP_001320277,KIN
NP_001320278,KIN
NP_001320279,KIN
NP_001318777,CK
XP_004246095,KIN
NP_001327400,KIN
NP_001327401,KIN
XP_004234210,KIN
NP_001323564,RLK
NP_194653,RLP
XP_025877228,RLP
NP_200735,KIN
NP_174637,CK
NP_195650,RLK
XP_004243383,RLK
XP_019071116,N
XP_015642370,RLK
XP_015613344,RLP
NP_173217,RLK
NP_190172,KIN
NP_190178,KIN
XP_015645020,KIN
NP_191885,KIN
NP_191887,KIN
XP_025882535,KIN
XP_004235890,KIN
XP_010327213,KIN
XP_004235896,KIN
XP_015613527,KIN
NP_175675,CN
XP_015623360,KIN
XP_015647887,KIN
XP_015641456,KIN
XP_025880620,RLK
XP_025887901,KIN
XP_025885239,N
NP_179568,RLP
NP_001233803,KIN
XP_015621630,KIN
XP_025885230,KIN
NP_177507,KIN
XP_010322192,KIN
XP_004251230,CN
XP_019069734,KIN
NP_178179,KIN
XP_004237823,KIN
NP_188391,RLP
NP_201029,RLK
XP_025878081,KIN
XP_025878080,KIN
XP_025878085,N
XP_025882530,RLK
XP_025878086,N
XP_025878089,N
XP_025878088,N
XP_019067822,RLK
XP_019067825,RLK
NP_001327784,TNL
NP_001329119,TNL
XP_004235511,RLK
XP_015623772,RLP
NP_196686,TNL
NP_001326308,KIN
XP_025881681,RLK
XP_025881680,RLK
XP_015612124,KIN
XP_019069345,CK
XP_019069347,N
NP_001184930,RLK
NP_001184932,KIN
XP_015625875,KIN
NP_001319561,N
XP_015610879,CN
XP_015610878,CN
XP_025884019,NL
XP_004240268,RLP
XP_004229807,RLK
XP_025876737,CN
XP_025876736,CN
XP_025876738,CN
XP_015648999,KIN
XP_015626473,RLK
NP_001315467,KIN
XP_025877467,CNL
XP_025877464,RLP
XP_015648993,RLK
NP_001315468,KIN
NP_001119030,RLK
NP_001322558,NL
XP_025875644,RLK
XP_004245036,KIN
NP_001308059,KIN
NP_566977,CK
NP_566973,KIN
NP_001318743,CN
XP_025876592,KIN
NP_001330479,TNL
XP_025876849,RLK
XP_010318691,CK
NP_189138,RLP
XP_015636330,KIN
XP_015636331,KIN
NP_001318746,RLK
NP_189134,RLP
NP_189137,RLP
XP_025884486,RLP
NP_001332185,CTNL
XP_025884485,RLP
XP_025884483,RLP
XP_025884480,RLP
XP_010320603,KIN
XP_010317426,KIN
XP_010317420,RLK
XP_010324040,CK
XP_010317429,RLK
XP_004250859,RLP
NP_197661,TNL
XP_015642357,KIN
XP_010320746,KIN
XP_010320747,KIN
XP_010320744,KIN
XP_010320745,KIN
XP_015615753,CN
XP_010320748,KIN
XP_025884683,KIN
NP_001331986,RLK
XP_015621239,KIN
XP_015615755,CN
XP_015642358,RLK
NP_176349,KIN
XP_025877648,CN
XP_025877649,CN
NP_176341,KIN
XP_025877647,CN
NP_176343,KIN
XP_025877645,CN
NP_176344,KIN
XP_004244540,CL
NP_001322572,KIN
NP_001322571,N
XP_015644653,RLP
XP_015642681,KIN
XP_015642683,KIN
NP_194460,KIN
XP_010315161,RLP
NP_567945,KIN
XP_004250409,CN
XP_004235951,KIN
XP_019071565,KIN
XP_015620354,CN
XP_010314695,KIN
XP_010314694,KIN
NP_193811,RLK
XP_015632547,RLK
XP_015632546,RLK
XP_015632548,RLK
XP_015648053,CN
XP_015643084,KIN
XP_015614408,RLP
XP_004246645,KIN
XP_004246370,CK
XP_015619767,KIN
XP_025881051,RLP
XP_025881054,KIN
XP_025881055,KIN
NP_001320045,KIN
NP_001320044,KIN
NP_001320041,KIN
NP_001320040,KIN
XP_015620485,KIN
NP_001320042,KIN
XP_015643554,KIN
XP_015643555,KIN
NP_001320049,T
XP_025886222,CN
NP_195229,KIN
NP_174266,RLK
NP_174267,RLK
NP_174268,RLK
XP_015624816,KIN
XP_004238370,RLK
XP_015646691,RLP
XP_004252926,CK
NP_001322917,KIN
XP_015641743,RLP
NP_199059,KIN
XP_015620731,CN
XP_015620730,CN
NP_190544,RLP
XP_010318509,KIN
XP_010318508,KIN
XP_010318502,KIN
XP_010319117,KIN
XP_010319116,KIN
XP_010319115,KIN
XP_015646489,CK
XP_015639541,KIN
XP_019066836,KIN
XP_019066837,KIN
XP_019066835,RLP
XP_004236369,RLK
NP_001307719,KIN
XP_019068755,KIN
NP_001325138,RLK
NP_189960,RLP
XP_004239170,RLK
XP_015649014,KIN
XP_025880014,KIN
XP_025880017,N
XP_025880016,N
XP_004237584,TNL
XP_015634276,KIN
XP_015630199,KIN
XP_004229499,RLK
NP_173076,KIN
NP_173077,KIN
XP_004248904,RLP
XP_025876475,KIN
XP_015618360,N
XP_015635900,KIN
XP_015638760,N
NP_176644,CK
XP_025877875,RLP
NP_176137,N
XP_025877877,RLP
XP_025877876,RLP
NP_001326119,TNL
XP_025877878,RLP
XP_015619671,RLK
XP_015619672,RLK
NP_001189867,KIN
NP_564709,RLK
XP_015644918,KIN
NP_188940,KIN
NP_188941,RLP
NP_181451,KIN
XP_015614138,RLK
XP_015643312,KIN
XP_015643313,RLK
XP_025877254,CN
NP_001234330,KIN
NP_001332648,KIN
NP_001117515,CN
NP_189098,KIN
XP_015625196,CNL
XP_015625195,CNL
NP_189091,RLP
NP_001327243,RLK
XP_025877348,N
NP_177510,KIN
XP_025883161,CN
XP_025883162,CN
XP_015651199,N
XP_015651198,N
XP_004242679,CK
XP_015651197,N
XP_015651196,N
XP_025882567,RLP
XP_025882566,L
NP_001185387,TN
NP_001185386,TNL
NP_171917,RLK
NP_001078237,TNL
NP_001322142,TNL
XP_025884674,KIN
NP_197675,KIN
XP_025888126,KIN
NP_850336,KIN
NP_194634,KIN
