Gene stable ID,RefSeq peptide ID
AT5G57625,NP_680450
AT4G02725,NP_974503
AT4G02725,NP_001078347
AT1G14315,NP_001154336
AT1G14315,NP_001117286
AT5G66440,NP_201445
AT4G35440,NP_001190924
AT4G35440,NP_567985
AT3G52460,NP_190814
AT4G26240,NP_567740
AT3G55380,NP_001190096
AT3G55380,NP_567020
AT2G16953,NP_001323431
AT2G22320,NP_179819
AT1G26760,NP_173998
AT1G05250,NP_563732
AT1G05250,NP_563733
AT3G44560,NP_190042
AT3G44560,NP_001327123
AT3G44560,NP_001327122
AT1G67260,NP_001154454
AT1G67260,NP_001322103
AT1G67260,NP_001077781
AT4G31950,NP_194923
AT5G51680,NP_199981
AT4G10925,NP_001328453
AT4G10925,NP_001328452
AT4G10925,NP_567369
AT4G10925,NP_849357
AT4G10925,NP_001190698
AT3G56520,NP_191211
AT1G24575,NP_564220
AT4G31690,NP_001320107
AT1G12790,NP_563913
AT4G34640,NP_195190
AT4G34640,NP_001329728
AT4G03340,NP_001329489
AT4G03340,NP_192243
AT2G37260,NP_001323504
AT2G37260,NP_181263
AT2G37260,NP_001078015
AT5G54610,NP_200272
AT3G27970,NP_189436
AT4G13550,NP_001319920
AT4G13550,NP_001328226
AT4G13550,NP_001328227
AT1G04850,NP_563718
AT1G04850,NP_001323139
AT5G20560,NP_001318613
AT3G17420,NP_188368
AT3G08780,NP_187490
AT3G08780,NP_001030661
AT1G31760,NP_564382
AT5G65470,NP_201350
AT1G33250,NP_174595
AT1G74000,NP_177540
AT3G55660,NP_191125
AT3G55660,NP_001325478
AT4G15562,NP_001328049
AT3G48480,NP_190417
AT5G66420,NP_001330244
AT5G66420,NP_569034
AT5G66420,NP_001032163
AT3G02740,NP_186923
AT3G02740,NP_001325924
AT1G55580,NP_175954
AT1G53903,NP_001117487
AT1G53903,NP_564644
AT3G63400,NP_001326672
AT3G63400,NP_001190169
AT3G63400,NP_850740
AT3G63400,NP_191899
AT1G19715,NP_849691
AT1G19715,NP_001117315
AT1G19715,NP_001185041
AT5G62750,NP_201081
AT2G04031,NP_001077876
AT3G06130,NP_001189822
AT3G06130,NP_566273
AT5G50000,NP_001330453
AT5G50000,NP_199811
AT1G69430,NP_177102
AT1G53340,NP_001320510
AT1G53340,NP_001320511
AT1G53340,NP_175741
ATCG00160,NP_051048
AT3G05660,NP_187217
AT2G16130,NP_179210
AT5G63820,NP_201187
AT3G17140,NP_188339
AT3G24110,NP_001319629
AT3G24110,NP_189053
AT1G29890,NP_001322904
AT1G29890,NP_174282
AT1G29890,NP_001031111
AT2G47560,NP_182278
AT4G28600,NP_001329156
AT4G28600,NP_001329155
AT4G28600,NP_194589
AT1G80290,NP_001077854
AT1G80290,NP_565236
AT1G56540,NP_176047
AT1G56540,NP_001321319
AT2G37390,NP_001189699
AT2G37390,NP_181275
AT2G06050,NP_001077884
AT2G06050,NP_973431
AT2G06050,NP_178662
AT3G20920,NP_566671
AT3G20920,NP_001030734
AT5G26220,NP_197994
AT5G26220,NP_001332737
AT3G54830,
AT3G54830,NP_001326240
AT3G54830,NP_191043
AT3G09190,NP_001154599
AT3G05545,NP_850517
AT1G48650,NP_001154411
AT1G48650,NP_175298
AT4G27400,NP_194470
AT2G35250,NP_181068
AT5G15730,NP_568320
AT5G15730,NP_001078591
AT5G15730,NP_001331208
AT1G22670,NP_173681
AT1G07030,NP_172184
AT5G61930,NP_568945
AT5G61930,NP_001119475
AT4G27260,NP_194456
AT1G69860,NP_177144
AT1G10120,NP_172483
AT1G10120,NP_001321212
AT5G08760,NP_001078549
AT2G38390,NP_181373
AT1G43650,NP_001319162
AT1G43650,NP_175030
AT3G26470,NP_566794
AT1G09960,NP_172467
AT4G27370,NP_001328308
AT4G27370,NP_001328309
AT4G27370,NP_001328307
AT4G27370,NP_194467
AT2G25250,NP_180097
AT5G42110,NP_199026
AT1G51990,NP_974004
AT1G51990,NP_175611
AT5G23030,NP_197694
AT3G51100,NP_001118816
AT3G51100,NP_190679
AT3G51100,NP_974409
AT3G29580,NP_189599
AT3G28370,NP_001326656
AT3G28370,NP_001326655
AT3G28370,NP_001326657
AT3G28370,NP_001326654
AT3G28370,NP_189478
AT2G15710,NP_179173
AT5G20250,NP_001031910
AT5G20250,NP_001190347
AT5G20250,NP_197525
AT5G20250,NP_851044
AT4G21470,NP_193878
AT4G05220,NP_192431
AT4G04730,NP_192382
AT2G33520,NP_180910
AT1G53625,NP_849804
AT1G63360,NP_176525
AT1G63360,NP_001320502
AT1G33330,NP_001319132
AT1G33330,NP_001320386
AT1G33330,NP_174601
AT3G26840,NP_566801
AT1G74929,NP_001117601
AT3G29010,NP_001327163
AT3G29010,NP_189543
AT3G29010,NP_001327162
AT3G29010,NP_001327165
AT3G29010,NP_001327166
AT3G29010,NP_001327164
AT3G10450,NP_187656
AT3G10450,NP_001325521
AT3G10450,NP_001030669
AT3G10450,NP_001325520
AT4G12485,
AT4G34800,NP_001320138
AT4G28340,NP_194563
AT1G63430,NP_001321232
AT1G63430,NP_176532
AT1G63430,NP_001185301
AT3G14510,NP_188069
AT1G80720,NP_001320214
AT1G80720,NP_565244
AT1G69770,NP_177135
AT1G08460,NP_563817
AT1G08460,NP_001320319
AT1G78710,NP_177992
AT1G78710,NP_001154476
AT4G03820,NP_974507
AT4G03820,NP_192291
AT4G03820,NP_001328063
AT4G03820,NP_001328064
AT3G28930,NP_001326185
AT3G28930,NP_189535
AT3G28930,NP_001326184
AT3G52950,NP_190863
AT3G52950,NP_001190074
AT2G26330,NP_180201
AT1G08610,NP_172337
AT3G57620,NP_191321
AT5G08070,NP_001318505
AT5G08070,NP_196424
AT1G17540,NP_173197
AT2G39280,NP_181460
AT2G39280,NP_001189710
AT1G27380,NP_001321075
AT1G27380,NP_001321074
AT1G27380,NP_849713
AT1G27380,NP_564281
AT1G58643,NP_001322888
AT1G58643,NP_001322552
AT1G58643,NP_564739
AT1G58643,NP_564736
AT1G58643,NP_683442
AT5G08450,NP_001031857
AT5G08450,NP_196462
AT5G08450,NP_851033
AT5G14030,NP_001119223
AT5G14030,NP_568293
AT5G14030,NP_001318558
AT5G14030,NP_001119221
AT5G14030,NP_001331889
AT1G48953,NP_001117454
AT5G66080,NP_201409
AT5G66080,NP_001331751
AT2G47730,NP_001323480
AT2G47730,NP_850479
AT2G02310,NP_178337
AT4G11020,NP_192840
AT3G50670,NP_850676
AT3G50670,NP_190636
AT1G51440,NP_564590
AT2G07719,NP_085521
AT2G07719,NP_178799
AT1G18871,NP_001117309
AT1G25210,NP_173874
AT1G25210,NP_001117349
AT1G25210,NP_001185090
AT1G25210,NP_849706
AT1G25210,NP_001319076
AT1G25210,NP_001319078
AT1G21610,NP_001321247
AT1G21610,NP_001321248
AT1G21610,NP_173580
AT1G21610,NP_001321246
AT1G21610,NP_001185055
AT1G21610,NP_973880
AT5G05340,NP_196153
AT5G45440,NP_199357
AT4G05110,NP_001328891
AT4G05110,NP_192420
AT4G05110,NP_001328892
AT5G25380,NP_197920
AT5G25380,NP_001332473
AT5G25380,NP_001318646
AT5G25380,NP_001332474
AT3G44080,NP_189994
AT1G79710,NP_001322737
AT1G79710,NP_001322738
AT1G79710,NP_178089
AT5G56920,NP_200502
AT5G38000,NP_001331194
AT5G38000,NP_001331195
AT5G38000,NP_198616
AT5G15050,NP_197009
AT3G50370,NP_190606
AT3G50370,NP_001326662
AT1G80840,NP_178199
AT5G53670,NP_200178
ATMG00440,NP_085567
ATMG00440,NP_085505
ATMG00440,NP_565346
AT2G23160,NP_179897
AT4G29940,NP_001190867
AT4G29940,NP_194723
AT4G23640,NP_194095
AT3G09550,NP_001325606
AT3G09550,NP_001319511
AT3G09550,NP_187566
AT3G07568,NP_850535
AT5G44630,NP_199276
AT2G40900,NP_181622
AT2G39140,NP_181447
AT2G39140,NP_001323702
AT5G05950,NP_196214
AT3G48670,NP_190436
AT3G48670,NP_974403
AT3G48670,NP_001327083
AT5G63810,NP_201186
AT5G02340,NP_195854
AT4G32470,NP_194973
AT4G32470,NP_849484
AT3G11270,NP_187736
AT3G11270,NP_001189859
AT2G46440,NP_001325416
AT2G46440,NP_182167
AT2G17630,NP_179354
AT2G21105,
AT5G24100,NP_197798
AT4G29330,NP_194662
AT4G29330,NP_001328427
AT2G15470,NP_179149
AT2G47790,NP_566111
AT1G71300,NP_001319363
AT1G71300,NP_001320711
AT5G48545,NP_974907
AT5G48545,NP_001330362
AT5G48545,NP_001330363
AT1G49490,NP_175372
AT1G49490,NP_001320463
AT1G23645,NP_001323122
AT1G23645,NP_001323121
AT3G08530,NP_187466
AT1G09795,NP_563853
AT2G19190,NP_179509
AT5G56950,NP_568844
AT3G22380,NP_001326717
AT3G22380,NP_001118676
AT3G22380,NP_566705
AT2G41835,NP_850358
AT4G23590,NP_194090
AT3G05140,NP_187165
AT3G05140,NP_001327889
AT1G48690,NP_175301
AT4G35620,NP_195287
AT4G35620,NP_001329476
AT3G29750,NP_189618
AT1G49570,NP_175380
AT3G54500,NP_001326677
AT3G54500,NP_001326678
AT3G54500,NP_001319747
AT3G54500,NP_191014
AT3G54500,NP_974432
AT3G54500,NP_001326676
AT3G54500,NP_001190089
AT3G54500,NP_001319746
AT2G45130,NP_182038
AT1G68470,NP_177014
AT5G58400,NP_200648
AT2G39110,NP_001324582
AT2G39110,NP_850311
AT5G39510,NP_198767
AT4G32660,NP_001031774
AT4G32660,NP_974666
AT4G32660,NP_194992
AT4G32660,NP_001328058
AT1G75580,NP_177688
AT5G23090,NP_851061
AT5G23090,NP_001330452
AT5G23090,NP_851060
AT5G23090,NP_001031927
AT5G23090,NP_197700
AT5G45920,NP_001331142
AT5G45920,NP_001331143
AT5G45920,NP_001331144
AT5G45920,NP_199404
AT3G52760,NP_190844
AT5G52750,NP_200087
AT5G52750,NP_001332150
AT5G18830,NP_850850
AT5G18830,NP_197384
AT5G18830,NP_001190333
AT3G27460,NP_001326214
AT3G27460,NP_001326215
AT3G27460,NP_001326213
AT3G27460,NP_001154650
AT3G27460,NP_189382
AT2G38910,NP_181425
AT3G62780,NP_191837
AT3G28210,NP_189461
AT3G28210,NP_001327074
AT3G47675,NP_001319702
AT2G44360,NP_181964
AT5G50720,NP_568744
AT2G36060,NP_850259
AT2G36060,NP_001078011
AT2G36060,NP_565834
AT1G26400,NP_173964
AT4G19470,NP_193682
AT4G04360,NP_192345
AT3G25060,NP_189142
AT2G07684,NP_001118285
AT1G72980,NP_177441
AT5G51840,NP_568766
AT4G17490,NP_567529
AT1G59970,NP_176205
AT2G32950,NP_180854
AT2G32950,NP_001325309
AT3G26240,NP_189255
AT3G04860,NP_566240
AT1G11520,NP_172619
AT2G24420,NP_850053
AT2G24420,NP_565569
AT1G30640,NP_001321465
AT1G30640,NP_174352
AT1G30640,NP_001321464
AT2G40950,NP_565946
AT5G21930,NP_680181
AT5G21930,NP_001031920
AT5G21930,NP_001331520
AT5G21930,NP_001190357
AT1G26440,NP_973915
AT1G26440,NP_001321599
AT1G26440,NP_849708
AT1G26440,NP_001321601
AT1G26440,NP_001321600
AT1G26440,NP_001031094
AT1G26440,NP_564246
AT1G26440,NP_001321598
AT1G51320,NP_564587
AT5G24240,NP_197812
AT5G24240,NP_001318634
AT1G22070,NP_564156
AT4G25310,NP_001329605
AT4G25310,NP_194261
AT1G26700,NP_564257
AT1G26700,NP_001319086
AT3G55990,NP_191158
AT3G43940,NP_189980
AT5G27607,NP_001332378
AT2G40750,NP_181607
AT3G09920,NP_187603
AT3G09920,NP_001189852
AT3G09920,NP_001030666
AT3G09920,NP_001327647
AT3G54900,NP_191050
AT3G16500,NP_001325855
AT3G16500,NP_188271
AT5G25480,NP_568474
AT3G12910,NP_187897
AT2G05100,NP_178585
AT2G05100,NP_001324168
AT3G18510,NP_188480
AT1G73603,NP_001031275
AT4G08876,NP_680667
AT1G55650,NP_175961
AT5G65130,NP_201318
AT5G65130,NP_001329953
AT3G25730,NP_189201
AT1G78180,NP_565171
AT2G28960,NP_180462
AT2G28960,NP_001318309
AT3G48680,NP_190437
AT2G04842,NP_671778
AT2G04842,NP_001318198
AT3G63360,NP_191895
AT1G55928,NP_001031197
AT3G18010,NP_188428
AT4G18550,NP_001328832
AT4G18550,NP_001328833
AT4G18550,NP_193590
AT4G12000,NP_001329609
AT4G12000,NP_192937
AT4G12000,NP_001329610
AT1G29880,NP_564337
AT3G01250,NP_186774
AT5G27280,NP_198080
AT1G53645,NP_564639
AT3G46070,NP_190193
AT3G19120,NP_566626
AT5G37180,NP_001318683
AT5G37180,NP_001332704
AT5G37180,NP_198534
AT3G21305,NP_001325661
AT4G37760,NP_568033
AT3G01840,NP_186833
AT2G20690,NP_565482
AT4G02510,NP_001319848
AT4G02510,NP_001328635
AT4G02510,NP_001328636
AT4G02510,NP_567242
AT5G10110,NP_196573
AT2G45580,NP_182082
AT2G45580,NP_001323696
AT2G45580,NP_001323695
AT2G31360,NP_001323798
AT2G31360,NP_565721
AT3G14290,NP_188046
AT3G23090,NP_001326991
AT3G23090,NP_188950
AT3G23090,NP_001326992
AT3G23090,NP_001326990
AT3G23090,NP_001319622
AT3G08690,NP_001189841
AT3G08690,NP_566331
AT2G01830,NP_001324427
AT2G01830,NP_001324428
AT2G01830,NP_001324429
AT2G01830,NP_565277
AT2G01830,NP_973396
AT2G01830,NP_849925
AT3G48540,NP_190423
AT4G34750,NP_195201
AT4G34750,NP_001190915
AT1G06240,NP_172114
AT5G05050,NP_196124
AT1G72330,NP_001077811
AT1G72330,
AT1G72330,NP_001185380
AT1G72330,NP_565040
AT3G48343,NP_001327333
AT3G54300,NP_001326058
AT3G54300,NP_001078283
AT3G54300,NP_190998
AT5G42470,NP_199062
AT5G51380,NP_199951
AT4G28150,NP_001328078
AT4G28150,NP_567798
AT4G28150,NP_849463
AT3G36659,NP_683536
AT1G20840,NP_173508
AT1G20840,NP_001319055
AT4G33040,NP_195030
AT1G45050,NP_564493
AT1G45050,NP_001323221
AT5G61770,NP_568939
AT5G61770,NP_974976
AT5G61770,NP_851242
AT3G58970,NP_567076
AT1G52500,NP_849798
AT1G52500,NP_001322993
AT1G52500,NP_001322995
AT1G52500,NP_564608
AT1G52500,NP_001322994
AT5G58750,NP_200683
AT5G58750,NP_001330491
AT3G13010,NP_187907
AT1G10430,NP_172514
AT1G10430,NP_001322206
AT3G01820,NP_186831
AT2G31865,NP_850175
AT2G31865,NP_973578
AT2G31865,NP_001324969
AT3G54630,NP_191024
AT1G05670,NP_001154307
AT1G05670,NP_001318929
AT1G05670,NP_172058
AT5G66240,NP_001190633
AT5G66240,NP_851281
AT5G66240,NP_569031
AT4G19990,NP_001328361
AT4G19990,NP_001328360
AT4G19990,NP_001328358
AT4G19990,NP_001320002
AT4G19990,NP_001190776
AT4G19990,NP_001328362
AT4G19990,NP_001328359
AT4G18380,NP_193573
AT4G18380,NP_001190761
AT1G64110,NP_001117544
AT1G64110,NP_001319315
AT1G64110,NP_564824
AT1G64110,NP_849842
AT1G64110,NP_001323399
AT2G16710,NP_179262
AT2G16710,NP_001077902
AT2G16710,NP_001189536
AT5G47050,NP_199516
AT1G65220,NP_564845
AT1G13635,NP_001184988
AT1G13635,NP_973818
AT4G27415,NP_974625
AT4G27415,NP_974626
AT2G29080,NP_850129
AT4G03635,NP_001078350
AT5G45095,NP_850921
AT3G45720,NP_190158
AT5G65000,NP_974995
AT5G65000,NP_569004
AT2G46280,NP_850450
AT2G46280,NP_182151
AT2G46280,NP_973697
AT4G34200,NP_195146
AT2G19870,NP_849992
AT5G35660,NP_001154749
AT3G15548,NP_001118637
AT5G34908,NP_001078635
AT2G14210,NP_001324071
AT2G14210,NP_179033
AT5G59800,NP_200788
AT3G54530,NP_001190090
AT3G54530,NP_001326946
AT3G54530,NP_191017
AT1G54950,NP_001319235
AT2G28520,NP_850122
ATMG00850,NP_085541
AT4G12800,NP_193016
AT4G12800,NP_001328992
AT3G62900,NP_001326602
AT3G62900,NP_001326601
AT3G62900,NP_001319823
AT3G54410,NP_191009
AT1G55730,NP_175969
AT1G55730,NP_001031196
AT1G07310,NP_563785
AT1G77230,NP_177847
AT1G52400,NP_001031175
AT1G52400,NP_001185204
AT1G52400,NP_175649
AT5G60580,NP_568923
AT5G60580,NP_851231
AT5G60580,NP_851232
AT5G60580,NP_001032112
AT5G24790,NP_568456
AT5G48780,NP_001318764
AT5G48780,NP_001190494
AT5G41490,NP_198964
AT3G22320,NP_188871
AT5G22820,NP_568423
AT5G22820,NP_001190369
AT5G22820,NP_001330828
AT2G22345,NP_001031395
AT2G44440,NP_181972
AT4G30993,NP_849477
AT4G30993,NP_567863
AT4G30993,NP_001328346
AT3G57440,NP_001326812
AT3G57440,NP_191303
AT5G60260,NP_001318846
AT5G14740,NP_974782
AT5G14740,NP_001330236
AT5G14740,NP_568303
AT5G14740,NP_001330237
AT5G14740,NP_001330238
AT5G14740,NP_001330235
AT5G14740,NP_001031884
AT5G14740,NP_001031883
AT5G14740,NP_001078583
AT1G16430,NP_563997
AT5G66760,NP_201477
AT5G54225,NP_001032074
AT1G27752,NP_001117366
AT1G27752,NP_001077611
AT3G09700,NP_566352
AT2G16580,NP_179248
AT5G47510,NP_001331129
AT5G47510,NP_001331128
AT5G47510,NP_199562
AT5G47510,NP_001331127
AT3G50390,NP_190608
AT1G14880,NP_172941
AT4G34350,NP_567965
AT4G14368,NP_001328534
AT4G14368,NP_001154232
AT4G14368,NP_001328536
AT4G14368,NP_001328535
AT1G11190,NP_172585
AT2G30730,NP_001324016
AT2G30730,NP_180631
AT3G23070,NP_188947
AT5G16950,NP_197197
AT2G23690,NP_179949
AT2G40710,NP_181603
AT2G30925,NP_565707
AT3G14360,NP_566484
AT1G43100,NP_175005
AT2G31265,NP_001323493
AT1G26650,NP_564252
AT5G43066,NP_001119364
AT5G20300,NP_001329949
AT5G20300,NP_001031911
AT5G20300,NP_197530
AT5G20300,NP_001318609
AT5G20300,NP_001031912
AT3G01550,NP_001325621
AT3G01550,NP_566142
AT5G49950,NP_199806
AT1G54420,NP_175844
AT5G40530,NP_974864
AT5G40530,NP_001330532
AT5G40530,NP_198869
AT5G40530,NP_001330531
AT2G02930,NP_178394
AT4G38730,NP_195584
AT4G22320,NP_193963
AT4G22320,NP_001190798
AT2G32040,NP_565734
AT2G32040,NP_001323845
AT5G45850,NP_199397
AT3G58010,NP_001325643
AT3G58010,NP_191360
AT3G03740,NP_566212
AT3G53900,NP_850699
AT3G53900,NP_190958
AT3G08970,NP_001319504
AT3G08970,NP_187509
AT1G34640,NP_564450
AT2G13275,NP_001323443
AT5G38420,NP_198658
AT4G11790,NP_567381
AT3G62620,NP_001326931
AT3G62620,NP_001326935
AT3G62620,NP_001326933
AT3G62620,NP_001326936
AT3G62620,NP_001326932
AT3G62620,NP_001326934
AT3G62620,NP_191821
AT3G62620,NP_001190164
AT3G62620,NP_001326937
AT3G62620,NP_001078330
AT5G37910,NP_198607
AT2G34940,NP_181040
AT2G18720,NP_001324884
AT2G18720,NP_001324883
AT2G18720,NP_179462
AT3G51780,NP_190746
AT4G05130,NP_192422
AT5G11320,NP_850808
AT5G11320,NP_196693
AT5G63910,NP_201196
AT2G20320,NP_001324599
AT2G20320,NP_179622
AT3G14880,NP_188106
AT3G14880,NP_001118628
AT2G16190,NP_179215
AT2G16190,NP_001118327
AT1G50310,NP_175449
AT1G50310,NP_001323384
AT4G02730,NP_192182
AT3G45600,NP_190146
AT3G45600,NP_001326332
AT4G11175,NP_192856
AT4G21350,NP_193866
AT3G25573,NP_001118698
AT4G25670,NP_567726
AT4G25670,NP_001190839
AT2G27300,NP_180298
AT1G49430,NP_001321632
AT1G49430,NP_175368
AT3G59110,NP_191470
AT3G04570,NP_566232
AT5G59120,NP_568898
AT2G31800,NP_180739
AT5G43420,NP_199155
AT1G74240,NP_177564
AT1G74240,NP_001321798
AT3G10320,NP_187643
AT3G02640,NP_566178
AT3G03110,NP_566193
ATCG00065,
AT1G01760,NP_001322030
AT1G01760,NP_001322031
AT1G01760,NP_171681
AT1G01760,NP_001322029
AT3G28917,NP_974373
AT3G19960,NP_001325653
AT3G19960,NP_188630
AT3G19960,NP_001325654
AT3G19960,NP_001325652
AT3G19960,NP_001154628
AT3G14820,NP_188100
AT3G45630,NP_190149
AT3G45630,NP_001327582
AT2G46420,NP_001118536
AT2G46420,NP_001323638
AT2G46420,NP_566074
AT3G18905,NP_001325850
AT2G37805,NP_001323797
AT1G61160,NP_176311
AT4G30410,NP_974640
AT4G30410,NP_194770
AT4G27140,NP_194444
AT5G04347,NP_001031830
AT5G04347,NP_001330171
AT3G20560,NP_566664
AT2G36420,NP_181183
AT1G47480,NP_564507
AT2G33580,NP_180916
AT5G53330,NP_568790
AT1G65820,NP_001154452
AT1G65820,NP_001154451
AT1G65820,NP_176758
AT1G22900,NP_173703
AT5G11050,NP_196666
AT5G61700,NP_001332311
AT5G61700,NP_001332309
AT5G61700,NP_001318859
AT5G61700,NP_001332310
AT2G38010,NP_001324325
AT2G38010,NP_973628
AT2G38010,NP_181337
AT1G52080,NP_564600
AT1G52080,NP_001323019
AT2G20625,
AT2G20625,NP_179654
AT2G20625,NP_001324778
AT2G19490,NP_179539
AT1G35180,NP_174751
AT1G30070,NP_564346
AT1G30070,NP_001185113
AT1G35210,NP_564454
AT1G10410,NP_172512
AT3G12050,NP_850566
AT3G12050,NP_566410
AT3G03341,NP_001118559
AT5G07160,NP_196333
AT1G73740,NP_177515
AT3G50120,NP_190581
AT4G16780,NP_193411
AT2G35320,NP_565803
AT1G53350,NP_001319213
AT1G34110,NP_174673
AT1G34110,NP_001320719
AT1G17240,NP_173167
AT1G17240,NP_001320953
AT3G15970,NP_001326913
AT3G15970,NP_566532
AT3G01970,NP_186846
AT5G11565,NP_001331406
AT4G15830,NP_567477
