Species_type,Tissus_type,Tissue_type_PO,Cell_type,Cell_type_PO,Cell_marker_name,Gene_symbol,Gene_id,Gene_id_rap,Protein_name,Protein_id,Marker_resource,PMID,Note_gene_type,Description
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PHYB,AT2G18790,,,,Experimental,15965119,Cell-Marker gene,phytochrome B
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,PHYB,AT2G18790,,,,Experimental,24835461,Cell-Marker gene,phytochrome B
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,PHYB,AT2G18790,,,,Experimental,22404473,Cell-Marker gene,phytochrome B
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,ER,AT2G26330,,,,Experimental,16002616,Cell-Marker gene,Leucine-rich receptor-like protein kinase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,ER,AT2G26330,,,,Experimental,22404473,Cell-Marker gene,Leucine-rich receptor-like protein kinase family protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,PKT3,AT2G33150,,,,Experimental,14996216,Cell-Marker gene,peroxisomal 3-ketoacyl-CoA thiolase 3
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,UGT73C1,AT2G36750,,,,Experimental,30312436,Cell-Marker gene,UDP-glucosyl transferase 73C1
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AFO,AT2G45190,,,,Experimental,33955487,Cell-Marker gene,Plant-specific transcription factor YABBY family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,MPK12,AT2G46070,,,,Experimental,33955487,Cell-Marker gene,mitogen-activated protein kinase 12
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CA1,AT3G01500,,,,Experimental,33955487,Cell-Marker gene,carbonic anhydrase 1
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,MUTE,AT3G06120,,,,Experimental,23662679,Cell-Marker gene,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,TCP4,AT3G15030,,,,Experimental,30742619,Cell-Marker gene,TCP family transcription factor 4
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,TCP4,AT3G15030,,,,Experimental,30914467,Cell-Marker gene,TCP family transcription factor 4
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,CUC1,AT3G15170,,,,Experimental,14617069,Cell-Marker gene,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,phloem,PO0005417,,AT3G16180,AT3G16180,,,,Experimental,24006285,Cell-Marker gene,Major facilitator superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,WOX1,AT3G18010,,,,Experimental,31819716,Cell-Marker gene,WUSCHEL related homeobox 1
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,MPK9,AT3G18040,,,,Experimental,33955487,Cell-Marker gene,MAP kinase 9
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,IQD5,AT3G22190,,,,Experimental,32592820,Cell-Marker gene,IQ-domain 5
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,CLL1,AT3G22820,,,,Experimental,23748792,Cell-Marker gene,allergen-like protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,FMA,AT3G24140,,,,Experimental,33955487,Cell-Marker gene,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,FUS3,AT3G26790,,,,Experimental,15695450,Cell-Marker gene,AP2/B3-like transcriptional factor family protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,AT4G09530,AT4G09530,,,,Experimental,33093148,Cell-Marker gene,SAUR-like auxin-responsive protein family
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PP2-A2,AT4G19850,,,,Experimental,23602479,Cell-Marker gene,lectin-like protein
Arabidopsis_thaliana,leaf,PO0025034,cotyledon,PO0020030,,NRT1.8,AT4G21680,,,,Experimental,20501909,Cell-Marker gene,NITRATE TRANSPORTER 1.8
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,ATML1,AT4G21750,,,,Experimental,23515473,Cell-Marker gene,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf epidermis,PO0006016,,ATML1,AT4G21750,,,,Experimental,33955487,Cell-Marker gene,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,petiole,PO0020038,,WRKY53,AT4G23810,,,,Experimental,15604721,Cell-Marker gene,WRKY family transcription factor
Arabidopsis_thaliana,leaf,PO0025034,leaf apex,PO0020137,,WRKY53,AT4G23810,,,,Experimental,15604721,Cell-Marker gene,WRKY family transcription factor
Arabidopsis_thaliana,leaf,PO0025034,plant embryo cotyledon,PO0025470,,ENP,AT4G31820,,,,Experimental,16107478,Cell-Marker gene,Phototropic-responsive NPH3 family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf procambium,PO0025259,,HB-8,AT4G32880,,,,Experimental,33955487,Cell-Marker gene,homeobox-leucine zipper protein ATHB-8
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,ERL2,AT5G07180,,,,Experimental,22404473,Cell-Marker gene,ERECTA-like 2
Arabidopsis_thaliana,leaf,PO0025034,petiole,PO0020038,,LEP,AT5G13910,,,,Experimental,11044410,Cell-Marker gene,Integrase-type DNA-binding superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,MYB66,AT5G14750,,,,Experimental,23864836,Cell-Marker gene,myb domain protein 66
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,TTG1,AT5G24520,,,,Experimental,23864836,Cell-Marker gene,Transducin/WD40 repeat-like superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS2B,AT5G38420,,,,Experimental,29513366,Cell-Marker gene,Ribulose bisphosphate carboxylase (small chain) family protein
Arabidopsis_thaliana,leaf,PO0025034,bundle sheath,PO0006023,,AT5G41920,AT5G41920,,,,Experimental,33955487,Cell-Marker gene,GRAS family transcription factor
Arabidopsis_thaliana,leaf,PO0025034,leaf epidermis,PO0006016,,CER3,AT5G57800,,,,Experimental,12974811,Cell-Marker gene,Fatty acid hydroxylase superfamily
Arabidopsis_thaliana,leaf,PO0025034,vascular leaf,PO0009025,,PXY,AT5G61480,,,,Experimental,31806676,Cell-Marker gene,Leucine-rich repeat protein kinase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf procambium,PO0025259,,PXY,AT5G61480,,,,Experimental,33955487,Cell-Marker gene,Leucine-rich repeat protein kinase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal complex,PO0025183,,ERL1,AT5G62230,,,,Experimental,22404473,Cell-Marker gene,ERECTA-like 1
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,pde191,AT4G38160,,,,scRNA-seq,32592820,Differentially expressed gene,Mitochondrial transcription termination factor family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,PLA2-ALPHA,AT2G06925,,,,scRNA-seq,32592820,Differentially expressed gene,Phospholipase A2 family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,TCP11,AT5G08330,,,,scRNA-seq,32592820,Differentially expressed gene,TCP family transcription factor
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,AT5G35740,AT5G35740,,,,scRNA-seq,32592820,Differentially expressed gene,Carbohydrate-binding X8 domain superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,EMB3108,AT1G59990,,,,scRNA-seq,32592820,Differentially expressed gene,DEA(D/H)-box RNA helicase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,RFC3,AT3G17170,,,,scRNA-seq,32592820,Differentially expressed gene,Translation elongation factor EF1B/ribosomal protein S6 family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,AAE14,AT1G30520,,,,scRNA-seq,32592820,Differentially expressed gene,acyl-activating enzyme 14
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,AT5G09820,AT5G09820,,,,scRNA-seq,32592820,Differentially expressed gene,Plastid-lipid associated protein PAP / fibrillin family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,BIO2,AT2G43360,,,,scRNA-seq,32592820,Differentially expressed gene,Radical SAM superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf pavement cell,PO0025212,,RPB5D,AT2G41340,,,,scRNA-seq,32592820,Differentially expressed gene,"RNA polymerase II fifth largest subunit, D"
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,,AT2G21187,,,,scRNA-seq,32592820,Differentially expressed gene,
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,ELF4-L1,AT2G29950,,,,scRNA-seq,32592820,Differentially expressed gene,ELF4-like 1
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AIRP1,AT4G23450,,,,scRNA-seq,32592820,Differentially expressed gene,RING/U-box superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,CYP71B19,AT3G26170,,,,scRNA-seq,32592820,Differentially expressed gene,"cytochrome P450, family 71, subfamily B, polypeptide 19"
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT2G41342,AT2G41342,,,,scRNA-seq,32592820,Differentially expressed gene,hypothetical protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,GLTP3,AT3G21260,,,,scRNA-seq,32592820,Differentially expressed gene,Glycolipid transfer protein (GLTP) family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT1G63350,AT1G63350,,,,scRNA-seq,32592820,Differentially expressed gene,Disease resistance protein (CC-NBS-LRR class) family
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,ORP1A,AT2G31020,,,,scRNA-seq,32592820,Differentially expressed gene,OSBP(oxysterol binding protein)-related protein 1A
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,TBL9,AT5G06230,,,,scRNA-seq,32592820,Differentially expressed gene,TRICHOME BIREFRINGENCE-LIKE 9
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT1G02470,AT1G02470,,,,scRNA-seq,32592820,Differentially expressed gene,Polyketide cyclase/dehydrase and lipid transport superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,,AT3G41768,,,,scRNA-seq,32592820,Differentially expressed gene,
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,,ATMG00020,,,,scRNA-seq,32592820,Differentially expressed gene,
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,,ATCG00020,,,,scRNA-seq,32592820,Differentially expressed gene,
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT3G05727,AT3G05727,,,,scRNA-seq,32592820,Differentially expressed gene,S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GSTF7,AT1G02920,,,,scRNA-seq,32592820,Differentially expressed gene,glutathione S-transferase 7
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,,ATMG01390,,,,scRNA-seq,32592820,Differentially expressed gene,
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT1G07590,AT1G07590,,,,scRNA-seq,32592820,Differentially expressed gene,Tetratricopeptide repeat (TPR)-like superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS2B,AT5G38420,,,,scRNA-seq,32592820,Differentially expressed gene,Ribulose bisphosphate carboxylase (small chain) family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS1B,AT5G38430,,,,scRNA-seq,32592820,Differentially expressed gene,Ribulose bisphosphate carboxylase (small chain) family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS3B,AT5G38410,,,,scRNA-seq,32592820,Differentially expressed gene,Ribulose bisphosphate carboxylase (small chain) family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,RBCS1A,AT1G67090,,,,scRNA-seq,32592820,Differentially expressed gene,ribulose bisphosphate carboxylase small chain 1A
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,BCAT-2,AT1G10070,,,,scRNA-seq,32592820,Differentially expressed gene,branched-chain amino acid transaminase 2
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,OPT4,AT5G64410,,,,scRNA-seq,32592820,Differentially expressed gene,oligopeptide transporter 4
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT2G39710,AT2G39710,,,,scRNA-seq,32592820,Differentially expressed gene,Eukaryotic aspartyl protease family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,UGT76B1,AT3G11340,,,,scRNA-seq,32592820,Differentially expressed gene,UDP-Glycosyltransferase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,DMR6,AT5G24530,,,,scRNA-seq,32592820,Differentially expressed gene,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT3G47380,AT3G47380,,,,scRNA-seq,32592820,Differentially expressed gene,Plant invertase/pectin methylesterase inhibitor superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT4G21445,AT4G21445,,,,scRNA-seq,32592820,Differentially expressed gene,receptor-interacting protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT5G55050,AT5G55050,,,,scRNA-seq,32592820,Differentially expressed gene,GDSL-like Lipase/Acylhydrolase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT3G13690,AT3G13690,,,,scRNA-seq,32592820,Differentially expressed gene,kinase with adenine nucleotide alpha hydrolases-like domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT3G15534,AT3G15534,,,,scRNA-seq,32592820,Differentially expressed gene,hypothetical protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT4G24060,AT4G24060,,,,scRNA-seq,32592820,Differentially expressed gene,Dof-type zinc finger DNA-binding family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT3G28600,AT3G28600,,,,scRNA-seq,32592820,Differentially expressed gene,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,OBP2,AT1G07640,,,,scRNA-seq,32592820,Differentially expressed gene,Dof-type zinc finger DNA-binding family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,BZIP9,AT5G24800,,,,scRNA-seq,32592820,Differentially expressed gene,basic leucine zipper 9
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,OPS,AT3G09070,,,,scRNA-seq,32592820,Differentially expressed gene,"LOW protein: UPF0503-like protein, putative (DUF740)"
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT3G43430,AT3G43430,,,,scRNA-seq,32592820,Differentially expressed gene,RING/U-box superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,LCR68,AT2G02130,,,,scRNA-seq,32592820,Differentially expressed gene,low-molecular-weight cysteine-rich 68
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,bZIP7,AT4G37730,,,,scRNA-seq,32592820,Differentially expressed gene,basic leucine-zipper 7
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,FMO,AT1G12200,,,,scRNA-seq,32592820,Differentially expressed gene,Flavin-binding monooxygenase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,CLO4,AT1G70670,,,,scRNA-seq,32592820,Differentially expressed gene,Caleosin-related family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,DFL1,AT5G54510,,,,scRNA-seq,32592820,Differentially expressed gene,Auxin-responsive GH3 family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,ChlAKR,AT2G37770,,,,scRNA-seq,32592820,Differentially expressed gene,NAD(P)-linked oxidoreductase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,NEET,AT5G51720,,,,scRNA-seq,32592820,Differentially expressed gene,"2 iron, 2 sulfur cluster binding protein"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,AT2G25510,AT2G25510,,,,scRNA-seq,32592820,Differentially expressed gene,transmembrane protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,TIP2;2,AT4G17340,,,,scRNA-seq,32592820,Differentially expressed gene,tonoplast intrinsic protein 2;2
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,PMEAMT,AT1G48600,,,,scRNA-seq,32592820,Differentially expressed gene,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,ATSPS4F,AT4G10120,,,,scRNA-seq,32592820,Differentially expressed gene,Sucrose-phosphate synthase family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,LTI78,AT5G52310,,,,scRNA-seq,32592820,Differentially expressed gene,low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A)
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,CYP94B1,AT5G63450,,,,scRNA-seq,32592820,Differentially expressed gene,"cytochrome P450, family 94, subfamily B, polypeptide 1"
Arabidopsis_thaliana,leaf,PO0025034,leaf mesophyll,PO0005645,,GASA1,AT1G75750,,,,scRNA-seq,32592820,Differentially expressed gene,GAST1 protein homolog 1
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,CYP71A12,AT2G30750,,,,scRNA-seq,32592820,Differentially expressed gene,cytochrome P450 family 71 polypeptide
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,AT5G03610,AT5G03610,,,,scRNA-seq,32592820,Differentially expressed gene,GDSL-like Lipase/Acylhydrolase superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,ABCG40,AT1G15520,,,,scRNA-seq,32592820,Differentially expressed gene,pleiotropic drug resistance 12
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,CYP71B3,AT3G26220,,,,scRNA-seq,32592820,Differentially expressed gene,"cytochrome P450, family 71, subfamily B, polypeptide 3"
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,CYP81D11,AT3G28740,,,,scRNA-seq,32592820,Differentially expressed gene,Cytochrome P450 superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,G3Pp1,AT3G47420,,,,scRNA-seq,32592820,Differentially expressed gene,putative glycerol-3-phosphate transporter 1
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,AT4G25900,AT4G25900,,,,scRNA-seq,32592820,Differentially expressed gene,Galactose mutarotase-like superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,AT4G15630,AT4G15630,,,,scRNA-seq,32592820,Differentially expressed gene,Uncharacterized protein family (UPF0497)
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,AT1G78830,AT1G78830,,,,scRNA-seq,32592820,Differentially expressed gene,Curculin-like (mannose-binding) lectin family protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,KAT2,AT4G18290,,,,scRNA-seq,32592820,Differentially expressed gene,potassium channel KAT1-like protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,OZS1,AT1G12480,,,,scRNA-seq,32592820,Differentially expressed gene,C4-dicarboxylate transporter/malic acid transport protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,AT1G23200,AT1G23200,,,,scRNA-seq,32592820,Differentially expressed gene,Plant invertase/pectin methylesterase inhibitor superfamily
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,TT7,AT5G07990,,,,scRNA-seq,32592820,Differentially expressed gene,Cytochrome P450 superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,BOR5,AT1G74810,,,,scRNA-seq,32592820,Differentially expressed gene,HCO3- transporter family
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,LHT2,AT1G24400,,,,scRNA-seq,32592820,Differentially expressed gene,lysine histidine transporter 2
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,AT2G47560,AT2G47560,,,,scRNA-seq,32592820,Differentially expressed gene,RING/U-box superfamily protein
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,GPAT6,AT2G38110,,,,scRNA-seq,32592820,Differentially expressed gene,glycerol-3-phosphate acyltransferase 6
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,ALMT12,AT4G17970,,,,scRNA-seq,32592820,Differentially expressed gene,"aluminum-activated, malate transporter 12"
Arabidopsis_thaliana,leaf,PO0025034,leaf guard cell,PO0025237,,KAT1,AT5G46240,,,,scRNA-seq,32592820,Differentially expressed gene,1.0
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT1G52270,AT1G52270,,,,scRNA-seq,32592820,Differentially expressed gene,hypothetical protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT2G44195,AT2G44195,,,,scRNA-seq,32592820,Differentially expressed gene,pre-mRNA splicing factor domain-containing protein
Arabidopsis_thaliana,leaf,PO0025034,leaf stomatal pore,PO0025235,,AT1G75960,AT1G75960,,,,scRNA-seq,32592820,Differentially expressed gene,AMP-dependent synthetase and ligase family protein
