Gene stable ID,TAIR Gene Name ID
AT1G21240,WAK3
AT1G21270,WAK2
AT1G21250,WAK1
AT3G14370,WAG2
AT1G53700,WAG1
AT3G29100,VTI13
AT1G26670,VTI12
AT5G39510,VTI11
AT5G04490,VTE5
AT4G32770,VTE1
AT5G55120,VTC5
AT3G02870,VTC4
AT4G26850,VTC2
AT4G20110,VSR7
AT1G30900,VSR6
AT2G34940,VSR5
AT2G14720,VSR4
AT2G30290,VSR2
AT3G52850,VSR1
AT5G24770,VSP2
AT5G24780,VSP1
AT3G24440,VRN5
AT4G16845,VRN2
AT3G18990,VRN1
AT5G09320,VPS9B
AT5G04850,VPS60.2
AT3G10640,VPS60.1
AT1G73030,VPS46.2
AT1G17730,VPS46.1
AT1G77140,VPS45
AT3G53120,VPS37-1
AT3G51310,VPS35C
AT1G75850,VPS35B
AT2G17790,VPS35A
AT4G05000,VPS28-2
AT4G21560,VPS28-1
AT4G05000,VPS28-1
AT4G27690,VPS26B
AT5G53530,VPS26A
AT4G19003,VPS25
AT3G45000,VPS24.2
AT5G22950,VPS24.1
AT4G27040,VPS22
AT5G09260,VPS20.2
AT5G63880,VPS20.1
AT1G03950,VPS2.3
AT5G44560,VPS2.2
AT2G06530,VPS2.1
AT2G42400,VOZ2
AT1G28520,VOZ1
AT5G09330,VNI1
AT1G71930,VND7
AT5G62380,VND6
AT1G62700,VND5
AT1G12260,VND4
AT2G18060,VND1
AT3G01390,VMA10
AT5G57320,VLN5
AT4G30160,VLN4
AT3G57410,VLN3
AT2G41740,VLN2
AT2G29890,VLN1
AT2G01770,VIT1
AT1G61040,VIP5
AT5G61150,VIP4
AT4G29830,VIP3
AT5G59710,VIP2
AT1G43700,VIP1
AT5G57380,VIN3
AT1G57800,VIM5
AT1G66040,VIM4
AT5G39550,VIM3
AT1G66050,VIM2
AT1G57820,VIM1
AT1G14000,VIK
AT4G27370,VIIIB
AT1G50360,VIIIA
AT1G16780,VHP2;2
AT4G23710,VHA-G2
AT1G64200,VHA-E3
AT3G08560,VHA-E2
AT4G39080,VHA-A3
AT2G21410,VHA-A2
AT2G28520,VHA-A1
AT1G78900,VHA-A
AT2G01950,VH1
AT3G62170,VGDH2
AT2G47030,VGDH1
AT2G47040,VGD1
AT4G07400,VFB3
AT3G50080,VFB2
AT1G47056,VFB1
AT4G24220,VEP1
AT2G18870,VEL3
AT2G18880,VEL2
AT4G30200,VEL1
AT5G18000,VDD
AT3G49920,VDAC5
AT5G57490,VDAC4
AT5G15090,VDAC3
AT5G67500,VDAC2
AT3G01280,VDAC1
AT3G13300,VCS
AT3G13290,VCR
AT2G38020,VCL1
AT4G25950,VATG3
AT5G16290,VAT1
AT5G17790,VAR3
AT2G30950,VAR2
AT5G42270,VAR1
AT1G08820,VAP27-2
AT3G60600,VAP27-1
AT1G04750,VAMP7B
AT3G24890,VAMP728
AT4G32150,VAMP711
AT5G46860,VAM3
AT4G21550,VAL3
AT1G02120,VAD1
AT2G28760,UXS6
AT3G46440,UXS5
AT2G47650,UXS4
AT5G59290,UXS3
AT3G62830,UXS2
AT3G53520,UXS1
AT5G63860,UVR8
AT3G15620,UVR3
AT3G57860,UVI4-LIKE
AT2G42260,UVI4
AT3G28030,UVH3
AT5G41150,UVH1
AT3G59360,UTR6
AT3G46180,UTR5
AT4G23010,UTR2
AT3G23140,URO
AT1G05620,URH2
AT2G36310,URH1
AT2G34470,UREG
AT1G21840,UREF
AT2G35035,URED
AT1G67550,URE
AT2G03600,UPS3
AT2G03530,UPS2
AT3G53900,UPP
AT5G40850,UPM1
AT3G53090,UPL7
AT3G17205,UPL6
AT4G12570,UPL5
AT5G02880,UPL4
AT1G70320,UPL2
AT1G55860,UPL1
AT5G47010,UPF1
AT2G47270,UPB1
AT1G16730,UP6
AT3G10560,UNE9
AT3G05690,UNE8
AT3G03690,UNE7
AT3G03340,UNE6
AT2G12940,UNE4
AT1G78130,UNE2
AT5G02100,UNE18
AT4G26330,UNE17
AT4G13640,UNE16
AT4G13560,UNE15
AT4G12860,UNE14
AT4G02590,UNE12
AT4G00080,UNE11
AT4G00050,UNE10
AT1G29300,UNE1
AT2G20825,ULT2
AT4G28190,ULT1
AT4G00690,ULP1B
AT3G06910,ULP1A
AT5G59920,ULI3
AT3G27440,UKL5
AT4G26510,UKL4
AT1G55810,UKL3
AT3G27190,UKL2
AT1G73880,UGT89B1
AT3G16520,UGT88A1
AT1G22400,UGT85A1
AT2G23250,UGT84B2
AT2G23260,UGT84B1
AT4G15500,UGT84A4
AT4G15490,UGT84A3
AT3G21560,UGT84A2
AT4G15480,UGT84A1
AT1G43620,UGT80B1
AT5G17030,UGT78D3
AT5G17050,UGT78D2
AT1G30530,UGT78D1
AT5G59590,UGT76E2
AT3G46660,UGT76E12
AT3G46670,UGT76E11
AT5G59580,UGT76E1
AT2G26480,UGT76D1
AT5G05860,UGT76C2
AT5G05870,UGT76C1
AT1G05530,UGT75B2
AT2G43840,UGT74F1
AT1G05680,UGT74E2
AT2G31750,UGT74D1
AT1G24100,UGT74B1
AT3G53150,UGT73D1
AT3G53160,UGT73C7
AT2G36790,UGT73C6
AT2G36760,UGT73C2
AT2G36750,UGT73C1
AT2G15480,UGT73B5
AT2G15490,UGT73B4
AT4G34131,UGT73B3
AT4G34135,UGT73B2
AT4G34138,UGT73B1
AT5G26310,UGT72E3
AT5G66690,UGT72E2
AT3G50740,UGT72E1
AT1G01420,UGT72B3
AT2G29730,UGT71D1
AT1G07240,UGT71C5
AT1G07250,UGT71C4
AT1G07260,UGT71C3
AT2G29740,UGT71C2
AT2G29750,UGT71C1
AT3G21800,UGT71B8
AT3G21780,UGT71B6
AT4G15280,UGT71B5
AT3G21750,UGT71B1
AT1G05560,UGT1
AT3G56040,UGP3
AT5G17310,UGP2
AT3G03250,UGP
AT4G17050,UGLYAH
AT4G10960,UGE5
AT1G63180,UGE3
AT4G23920,UGE2
AT1G12780,UGE1
AT1G26570,UGD1
AT1G30950,UFO
AT2G21270,UFD1
AT5G54060,UF3GT
AT3G52560,UEV1D-4
AT2G22500,UCP5
AT4G17510,UCH3
AT1G65650,UCH2
AT5G16310,UCH1
AT3G60280,UCC3
AT2G44790,UCC2
AT2G32300,UCC1
AT5G37640,UBQ9
AT3G09790,UBQ8
AT2G35635,UBQ7
AT2G47110,UBQ6
AT3G62250,UBQ5
AT5G20620,UBQ4
AT5G03240,UBQ3
AT4G02890,UBQ14
AT1G65350,UBQ13
AT1G55060,UBQ12
AT4G05050,UBQ11
AT4G05320,UBQ10
AT3G52590,UBQ1
AT4G10570,UBP9
AT5G22030,UBP8
AT3G21280,UBP7
AT1G51710,UBP6
AT2G40930,UBP5
AT2G22310,UBP4
AT4G39370,UBP27
AT3G49600,UBP26
AT3G14400,UBP25
AT4G30890,UBP24
AT5G57990,UBP23
AT5G10790,UBP22
AT5G46740,UBP21
AT4G17895,UBP20
AT1G04860,UBP2
AT1G17370,UBP1B
AT1G54080,UBP1A
AT2G24640,UBP19
AT4G31670,UBP18
AT5G65450,UBP17
AT4G24560,UBP16
AT1G17110,UBP15
AT3G20630,UBP14
AT3G11910,UBP13
AT5G06600,UBP12
AT1G32850,UBP11
AT4G10590,UBP10
AT2G32780,UBP1
AT5G42300,UBL5
AT4G27960,UBC9
AT5G41700,UBC8
AT5G59300,UBC7
AT2G46030,UBC6
AT1G63800,UBC5
AT5G41340,UBC4
AT3G24515,UBC37
AT1G16890,UBC36
AT1G78870,UBC35
AT1G17280,UBC34
AT5G50430,UBC33
AT3G17000,UBC32
AT1G36340,UBC31
AT5G56150,UBC30
AT5G62540,UBC3
AT2G16740,UBC29
AT1G64230,UBC28
AT5G50870,UBC27
AT3G15355,UBC25
AT2G33770,UBC24
AT2G16920,UBC23
AT5G05080,UBC22
AT1G50490,UBC20
AT3G20060,UBC19
AT5G42990,UBC18
AT4G36410,UBC17
AT1G75440,UBC16
AT3G55380,UBC14
AT3G46460,UBC13
AT3G08700,UBC12
AT3G08690,UBC11
AT5G53300,UBC10
AT1G14400,UBC1
AT3G56860,UBA2A
AT2G22090,UBA1A
AT5G40395,U6acat
AT4G25631,U60.2F
AT5G52471,U60.1F
AT5G46315,U6-29
AT3G13855,U6-26
AT3G14735,U6-1
AT4G05048,U49.1
AT3G06900,U4.2
AT5G54075,U3D
AT5G53902,U3B
AT2G30260,U2B''
AT1G09760,U2A'
AT5G61455,U2.7
AT3G56705,U2.6
AT5G09585,U2.5
AT3G56825,U2.4
AT3G57765,U2.3
AT3G57645,U2.2
AT2G47580,U1A
AT1G61275,U12
AT3G50670,U1-70K
AT5G43630,TZP
AT4G28680,TYRDC
AT3G59280,TXR1
AT2G18990,TXND9
AT1G14610,TWN2
AT3G21640,TWD1
AT4G11150,TUF
AT5G61780,Tudor2
AT5G07350,Tudor1
AT5G05620,TUBG2
AT3G61650,TUBG1
AT4G20890,TUB9
AT5G23860,TUB8
AT2G29550,TUB7
AT5G12250,TUB6
AT1G20010,TUB5
AT5G44340,TUB4
AT5G62700,TUB3
AT5G62690,TUB2
AT1G75780,TUB1
AT4G14960,TUA6
AT5G19780,TUA5
AT1G04820,TUA4
AT5G19770,TUA3
AT1G50010,TUA2
AT1G64740,TUA1
AT5G45050,TTR1
AT3G20070,TTN9
AT3G54670,TTN8
AT2G27170,TTN7
AT2G18390,TTN5
AT1G19080,TTN10
AT3G60740,TTN1
AT3G58620,TTL4
AT2G42580,TTL3
AT3G14950,TTL2
AT1G53300,TTL1
AT5G58220,TTL
AT2G37260,TTG2
AT5G24520,TTG1
AT4G09820,TT8
AT5G07990,TT7
AT3G55120,TT5
AT5G35550,TT2
AT5G23260,TT16
AT1G43620,TT15
AT3G59030,TT12
AT5G48100,TT10
AT1G34790,TT1
AT3G27060,TSO2
AT3G22780,TSO1
AT5G20930,TSL
AT3G18730,TSK
AT4G20370,TSF
AT1G78240,TSD2
AT5G38530,TSBtype2
AT4G27070,TSB2
AT5G54810,TSB1
AT3G54640,TSA1
AT1G52410,TSA1
AT3G16260,TRZ4
AT1G52160,TRZ3
AT5G53200,TRY
AT5G16400,TRXF2
AT3G02730,TRXF1
AT3G06730,TRX P
AT5G11040,TRS120
AT5G17990,TRP1
AT4G01050,TROL
AT1G51450,TRO
ATMG00790,TRNY.3
ATMG00390,TRNY.2
ATMG00340,TRNY.1
ATCG00240,TRNY
ATCG00610,TRNW
ATMG00930,TRNW
ATCG01220,TRNV.3
ATCG00910,TRNV.2
ATCG00450,TRNV.1
ATCG00390,TRNT.2
ATCG00260,TRNT.1
ATMG01160,TRNS.5
ATMG00780,TRNS.4
ATCG00370,TRNS.3
ATMG00420,TRNS.3
ATCG00290,TRNS.2
ATMG00330,TRNS.2
ATMG00230,TRNS.1
ATCG00090,TRNS.1
ATCG01150,TRNR.3
ATCG00980,TRNR.2
ATCG00110,TRNR.1
ATMG00950,TRNQ
ATCG00060,TRNQ
ATCG00620,TRNP
ATMG00350,TRNP
ATCG01140,TRNN.2
ATCG00990,TRNN.1
ATMG00380,TRNN
ATMG01340,TRNM.2
ATMG00250,TRNM.1
ATCG00460,TRNM
ATCG01260,TRNL.4
ATCG01030,TRNL.3
ATCG00880,TRNL.2
ATCG00400,TRNL.1
ATMG00700,TRNK.2
ATMG00100,TRNK.1
ATCG00030,TRNK
ATCG01290,TRNI.4
ATCG01200,TRNI.3
ATCG00930,TRNI.2
ATCG00850,TRNI.1
ATMG00460,TRNI
ATCG00010,TRNH
ATCG00310,TRNG.2
ATCG00100,TRNG.1
ATMG00190,TRNG
ATCG00320,TRNFM
ATCG00410,TRNF
ATCG00250,TRNE
ATMG00800,TRNE
ATMG01070,TRND
ATCG00230,TRND
ATCG00200,TRNC
ATMG00360,TRNC
ATCG01190,TRNA.2
ATCG00940,TRNA.1
AT5G55540,TRN1
AT2G16950,TRN1
AT1G03110,TRM82
AT3G26410,TRM11
AT5G47680,TRM10
AT2G46280,TRIP-1
AT2G29330,TRI
AT4G23640,TRH1
AT3G12560,TRFL9
AT2G37025,TRFL8
AT1G06910,TRFL7
AT1G72650,TRFL6
AT1G15720,TRFL5
AT3G53790,TRFL4
AT1G17460,TRFL3
AT1G07540,TRFL2
AT5G03780,TRFL10
AT3G46590,TRFL1
AT3G49850,TRB3
AT5G67580,TRB2
AT1G49950,TRB1
AT1G03780,TPX2
AT1G65970,TPX2
AT1G65980,TPX1
AT1G08030,TPST
AT5G23960,TPS21
AT1G61680,TPS14
AT2G24210,TPS10
AT1G61120,TPS04
AT4G16730,TPS02
AT3G25820,TPS-CIN
AT1G33400,TPR9
AT4G08320,TPR8
AT5G21990,TPR7
AT1G58450,TPR6
AT1G56440,TPR5
AT1G04530,TPR4
AT5G27030,TPR3
AT1G04190,TPR3
AT3G16830,TPR2
AT1G04130,TPR2
AT5G12430,TPR16
AT2G41520,TPR15
AT5G65160,TPR14
AT5G10090,TPR13
AT1G78120,TPR12
AT3G04710,TPR10
AT4G30480,TPR1
AT1G80490,TPR1
AT5G65140,TPPJ
AT5G10100,TPPI
AT4G39770,TPPH
AT4G22590,TPPG
AT4G12430,TPPF
AT2G22190,TPPE
AT1G35910,TPPD
AT1G22210,TPPC
AT4G20850,TPP2
AT2G30440,TPP
AT3G01780,TPLATE
AT2G44750,TPK2
AT1G02880,TPK1
AT4G24972,TPD1
AT5G16750,TOZ
AT4G27060,TOR1
AT1G50030,TOR
AT5G27840,TOPP8
AT4G11240,TOPP7
AT5G43380,TOPP6
AT3G46820,TOPP5
AT2G39840,TOPP4
AT1G64040,TOPP3
AT5G59160,TOPP2
AT2G29400,TOPP1
AT3G23890,TOPII
AT5G63920,TOP3A
AT5G55310,TOP1BETA
AT5G55300,TOP1ALPHA
AT3G55005,TON1B
AT3G55000,TON1A
AT1G64220,TOM7-2
AT1G49410,TOM6
AT5G08040,TOM5
AT3G20000,TOM40
AT2G02180,TOM3
AT1G32370,TOM2B
AT1G32400,TOM2A
AT5G43970,TOM22-V
AT1G04070,TOM22-I
AT5G40930,TOM20-4
AT3G27080,TOM20-3
AT1G27390,TOM20-2
AT3G27070,TOM20-1
AT4G21790,TOM1
AT5G67180,TOE3
AT5G60120,TOE2
AT4G09080,TOC75-IV
AT3G46740,TOC75-III
AT1G35860,TOC75-I
AT5G05000,TOC34
AT1G02280,TOC33
AT4G02510,TOC159
AT5G61380,TOC1
AT5G25810,tny
AT3G51490,TMT3
AT4G35300,TMT2
AT1G20840,TMT1
AT4G00430,TMP-C
AT5G60200,TMO6
AT3G13772,TMN7
AT1G55130,TMN6
AT1G10950,TMN1
AT1G80080,TMM
AT3G24660,TMKL1
AT1G66150,TMK1
AT3G02140,TMAC2
AT1G47270,TLP6
AT2G47900,TLP3
AT1G54780,TLP18.3
AT4G24180,TLP1
AT2G36960,TKI1
AT3G62980,TIR1
AT1G72930,TIR
AT3G47440,TIP5;1
AT2G25810,TIP4;1
AT4G17340,TIP2;2
AT3G26520,TIP2
AT5G20350,TIP1
AT5G11590,TINY2
AT5G64510,TIN1
AT3G46560,TIM9
AT5G50810,TIM8
AT1G55900,TIM50
AT1G61570,TIM13
AT2G29530,TIM10
AT2G21170,TIM
AT4G32570,TIFY8
AT1G70700,TIFY7
AT1G19180,TIFY10A
AT4G24470,TIFY1
AT1G10840,TIF3H1
AT3G22860,TIF3C2
AT5G27640,TIF3B1
AT2G24820,TIC55-II
AT4G03320,tic20-IV
AT1G04940,TIC20
AT3G22380,TIC
AT4G34570,THY-2
AT2G16370,THY-1
AT5G16790,THO7
AT3G02950,THO7
AT1G45233,THO5
AT5G42920,THO5
AT1G24706,THO2
AT5G09860,THO1
AT2G29630,THIC
AT5G36910,THI2.2
AT1G72260,THI2.1
AT5G54770,THI1
AT1G14530,THH1
AT1G50480,THFS
AT5G54380,THE1
AT5G48010,THAS
AT3G04520,THA2
AT1G08630,THA1
AT1G22940,TH1
AT5G23080,TGH
AT5G48375,TGG3
AT5G25980,TGG2
AT5G26000,TGG1
AT3G20320,TGD2
AT1G19800,TGD1
AT1G08320,TGA9
AT3G12250,TGA6
AT5G10030,TGA4
AT1G22070,TGA3
AT5G06839,TGA10
AT5G65210,TGA1
AT5G17690,TFL2
AT5G03840,TFL1
AT2G38560,TFIIS
AT1G72050,TFIIIA
AT2G41630,TFIIB
AT5G56130,TEX1
AT4G30430,TET9
AT2G23810,TET8
AT4G28050,TET7
AT3G12090,TET6
AT4G23410,TET5
AT5G60220,TET4
AT3G45600,TET3
AT2G19580,TET2
AT1G74045,TET17
AT1G18510,TET16
AT5G57810,TET15
AT2G01960,TET14
AT2G03840,TET13
AT5G23030,TET12
AT1G18520,TET11
AT1G63260,TET10
AT5G46700,TET1
AT3G43210,TES
AT1G25560,TEM1
AT1G67770,TEL2
AT3G26120,TEL1
AT2G31870,TEJ
AT5G48920,TED7
AT1G43790,TED6
AT1G79810,TED3
AT5G15170,TDP1
AT4G14770,TCX2
AT3G16640,TCTP
AT5G60970,TCP5
AT3G15030,TCP4
AT1G53230,TCP3
AT1G30210,TCP24
AT4G18390,TCP2
AT5G08070,TCP17
AT3G45150,TCP16
AT2G31070,TCP10
AT1G67260,TCP1
AT2G30424,TCL2
AT2G30432,TCL1
AT5G57560,TCH4
AT2G41100,TCH3
AT5G37770,TCH2
AT5G06700,TBR
AT1G55520,TBP2
AT3G13445,TBP1
AT5G13820,TBP1
AT5G06230,TBL9
AT3G11570,TBL8
AT1G48880,TBL7
AT3G62390,TBL6
AT5G20590,TBL5
AT2G30010,TBL45
AT2G30900,TBL43
AT1G78710,TBL42
AT3G14850,TBL41
AT2G31110,TBL40
AT5G49340,TBL4
AT2G42570,TBL39
AT1G29050,TBL38
AT2G34070,TBL37
AT3G54260,TBL36
AT5G01620,TBL35
AT2G38320,TBL34
AT2G40320,TBL33
AT3G11030,TBL32
AT1G73140,TBL31
AT2G40160,TBL30
AT5G01360,TBL3
AT2G40150,TBL28
AT1G70230,TBL27
AT4G01080,TBL26
AT1G01430,TBL25
AT4G23790,TBL24
AT4G11090,TBL23
AT3G28150,TBL22
AT5G15890,TBL21
AT3G02440,TBL20
AT1G60790,TBL2
AT5G15900,TBL19
AT4G25360,TBL18
AT5G20680,TBL16
AT2G37720,TBL15
AT5G64020,TBL14
AT2G14530,TBL13
AT5G64470,TBL12
AT5G19160,TBL11
AT3G06080,TBL10
AT3G12060,TBL1
AT2G24850,TAT3
AT5G57735,TASIR-ARF
AT3G17185,TASIR-ARF
AT5G49615,TAS3b
AT2G39681,TAS2
AT2G39675,TAS1C
AT1G50055,TAS1B
AT2G27400,TAS1A
AT4G24670,TAR2
AT1G23320,TAR1
AT1G77490,TAPX
AT5G53000,TAP46
AT4G27800,TAP38
AT5G44510,TAO1
AT1G77390,TAM
AT2G19450,TAG1
AT1G04950,TAFII59
AT1G54140,TAFII21
AT4G31720,TAFII15
AT4G34340,TAF8
AT1G55300,TAF7
AT1G54360,TAF6B4
AT1G54360,TAF6B2
AT1G54360,TAF6B1
AT1G54360,TAF6B
AT5G25150,TAF5
AT5G43130,TAF4
AT1G27720,TAF4
AT1G73960,TAF2
AT5G58470,TAF15b
AT1G50300,TAF15
AT2G18000,TAF14
AT1G02680,TAF13
AT3G10070,TAF12
AT1G20000,TAF11b
AT4G20280,TAF11
AT3G19040,TAF1
AT1G68720,TADA
AT3G09290,TAC1
AT5G01500,TAAC
AT3G55980,SZF1
AT3G18370,SYTF
AT1G05500,SYTE
AT5G11100,SYTD
AT5G04220,SYTC
AT1G20080,SYTB
AT2G20990,SYTA
AT1G51740,SYP81
AT3G61450,SYP73
AT3G45280,SYP72
AT3G09740,SYP71
AT1G28490,SYP61
AT1G79590,SYP52
AT1G16240,SYP51
AT3G05710,SYP43
AT4G02195,SYP42
AT5G26980,SYP41
AT3G24350,SYP32
AT5G05760,SYP31
AT4G17730,SYP23
AT5G16830,SYP21
AT5G08080,SYP132
AT3G03800,SYP131
AT1G11250,SYP125
AT1G61290,SYP124
AT4G03330,SYP123
AT3G52400,SYP122
AT3G11820,SYP121
AT2G18260,SYP112
AT1G08560,SYP111
AT1G70980,SYNC3
